Country Name,Country Code,Country Code,Region,IncomeGroup,Sub-Region,HAZARD & EXPOSURE,VULNERABILITY,LACK OF COPING CAPACITY,EPIDEMIC INFORM RISK,EPIDEMIC RISK CLASS,is_air_dprt_2018,SH_DTH_COMM_ZS_2016,IQ_CPA_ECON_XQ_2018,IQ_CPA_SOCI_XQ_2018,IQ_CPA_PUBS_XQ_2018,SH_STA_DIAB_ZS_2019,SL_AGR_EMPL_FE_ZS_2019,SL_AGR_EMPL_MA_ZS_2019,SL_EMP_VULN_ZS_2019,SL_IND_EMPL_MA_ZS_2019,SL_SRV_EMPL_FE_ZS_2019,SL.SRV.EMPL.MA.ZS_2019,IT.NET.BBND.P2_2018,IT.MLT.MAIN.P2_2018,NY.GDP.MKTP.KD.ZG_2018,NY.GDP.PCAP.CD_2018,NY.GDP.PCAP.KD.ZG_2018,NY.GNP.MKTP.PP.CD_2018,NY.GNS.ICTR.ZS_2018,SH.MED.BEDS.ZS_2015,NY.GNP.PCAP.PP.CD_2018,ST.INT.XPND.MP.ZS_2018,ST.INT.RCPT.XP.ZS_2018,SL.TLF.TOTL.IN_2019,IT.CEL.SETS.P2_2018,SM.POP.NETM_2017,BX.TRF.PWKR.CD.DT_2018,SP.POP.0014.TO.ZS_2018,SP.POP.1564.TO.ZS_2018,SP.POP.65UP.TO.ZS_2018,EN.POP.DNST_2018,EN.URB.LCTY.UR.ZS_2018,EN.POP.SLUM.UR.ZS_2014,SP.POP.TOTL_2018,SI.POV.GAPS_2018,SI.POV.DDAY_2018,IS.RRS.TOTL.KM_2018,SM.POP.REFG_2018,SP.URB.TOTL.IN.ZS_2018,SL.EMP.WORK.FE.ZS_2019,SL.EMP.WORK.MA.ZS_2019,pop_basic_san_tot%_2017,pop_basic_san_urb%_2017,pop_basic_san_rur%_2017,pop_safe_man_san_tot%_2017,pop_safe_man_san_urb%_2017,pop_safe_man_san_rur%_2017,chw_#,gov_health_exp%,pop_bas_hnd_wash_fac%_tot_2017,pop_bas_hnd_wash_fac%_urb_2017,pop_bas_hnd_wash_fac%_rur_2017,hos.beds.per10k.#,med_path_lab_sci#,med_path_lab_tech#,doc_per10k#,doc_#,gen_med_prac#,spec_med_prac#,med_doc#,nur_mid_wife_per10k#,nurse#,skl_health_pro_per10k#,C.1.1,C.1.2,C.1.3,C.2.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,Urban population growth (annual %),Population living in urban areas (%),Proportion of population with basic handwashing facilities on premises (% of population),Population living in slums (% of urban population),Children under 5 (% of population),GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Net ODA received (% of GNI),Volume of remittances (in USD) as a proportion of total GDP (%),"Mortality rate, under-5",Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population","Malaria incidence per 1,000 population at risk",Number of people requiring interventions against neglected tropical diseases,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees and asylum-seekers by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Individuals using the Internet,Mobile cellular subscriptions,People using at least basic sanitation services (% of population),People using at least basic drinking water services (% of population),Physicians Density,Current health expenditure per capita,GDP per capita (current US$),Total Population,"Air transport, passengers carried","International tourism, number of arrivals",IHR capacity score: Points of entry,Access to Cities,Public trust in politicians,1+ underlying conditions plus 0 conditions (65+ yrs),Humanitarian Aid (FTS),Gender Inequality Index
Afghanistan,AFG,AFG,South Asia,Low income,Southern Asia,6.2,7.2,6.9,6.8,Very High,24433.446,36.4,3,2.6,2.6,9.2,65.23000336,36.97600174,79.72600174,16.45199966,10.07900047,46.5719986,0.043040552,0.343791756,1.030660058,520.8966027,-1.350178336,73130655911,,0.5,1970,2.830353339,3.102622041,10699525,59.12084823,-314602,803546453.8,43.09017551,54.32489755,2.58492694,56.93776001,42.33119836,62.7,37172386,,,,72231,25.495,7.885000229,20.23399925,43,62,37,,,,,12,38,64,29,5,,,2.782,9842,,,9842,1.755,6370,6.37,20,40,40,60,60,80,80,40,20,40,40,40,40,80,20,40,20,20,3.35,25.50,37.75,71.3,14.82,0.99,0.95,0.50,0.27,11853.88,2660.89,19.45,4.15,62.3,189,0.1,,23.02,13547677,0.57,,11240,10606750,130942,2993384,72516,16220,96,29.8,-1.46,16,97.7,43.02,13.50,59.1,43.4,67.1,2.84,162.78,521,38041757,1722613,,0.0,136.96,,19,11853.88,0.57
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,Southern Europe,3.6,3.3,4.3,3.7,Medium,2935,2.9,,,,9,40.70100021,33.80899811,52.85199928,22.89900017,43.31999969,43.29199982,12.55565885,8.62481528,4.145237936,5268.848504,4.40251487,38263095508,16.22980488,,13350,25.53146747,48.19516798,1319734,94.17699827,-69998,1458210056,17.67287372,68.58239036,13.74473591,104.6122628,27.50639254,,2866376,,,,131,60.319,46.20999908,43.49700165,98,98,97,40,40,39,,9.37,,,,29,,,12.164,3511,,,3511,36.495,10534,,100,60,60,100,40,100,100,80,40,40,40,60,20,60,40,80,80,20,1.32,60.32,,,5.87,0.11,0.01,0.79,0.00,53.54,147.69,2.27,9.66,8.8,20,0.1,0.06,,6,0.23,29.00,21002,800,14007,0,293,0,127,6.2,0.11,35,100.0,98.14,71.85,94.2,97.7,91.0,12.00,759.67,5254,2880913,303137,4643000,,11.58,3.27,31,53.54,0.23
Algeria,DZA,DZA,Middle East & North Africa,Upper middle income,Northern Africa,4.3,4.5,3.2,4,Medium,77463,14.8,,,,6.7,3.535000086,11.03800011,26.9929992,32.06900024,72.86299896,56.89400101,7.262935415,9.948087553,1.4,4114.715061,-0.615183264,6.20E+11,,1.9,14970,,,12303850,111.6647921,-50002,1792000000,30.14867859,63.48882487,6.362496545,17.73007507,8.782309903,,42228429,,,,94350,72.629,74.64800262,67.21900177,88,90,82,18,16,21,,9.9,84,88,73,19,136,15238,17.193,72604,32774,39830,,15.477,56411,31.16,100,100,100,100,100,80,80,80,60,20,80,80,100,100,60,80,40,100,2.80,72.63,83.74,,11.67,0.62,0.26,0.76,0.01,623.25,88.94,0.11,1.03,23.5,70,0.1,0.05,0.00,13140,0.44,27.60,125000,200,125025,0,103276,0,146,3.9,-0.44,35,100.0,81.41,49.04,111.7,87.6,93.6,18.30,998.15,4279,43053054,6442442,2451000,40.0,1.91,2.82,23,623.25,0.44
Angola,AGO,AGO,Sub-Saharan Africa,Upper middle income,Middle Africa,6.7,5.8,5.7,6.1,High,13978,63.4,,,,4.5,56.36299896,44.3429985,65.99500084,15.20199966,42.5320015,40.45500183,0.355604536,0.557803272,-2.133493257,3432.385736,-5.287779594,1.90E+11,,,6170,2.943521971,1.345771733,13164510,43.13051888,32066,1579247.15,46.80892471,50.97470164,2.216373648,24.71305206,38.51529774,55.5,30809762,21.4,47.6,,39865,65.514,17.76000023,41.83399963,50,64,23,,,,,5,27,34,13,8,,1376,2.146,6400,,,6400,4.075,12554,15.86,20,40,80,100,80,100,100,60,60,80,80,60,40,60,80,40,20,40,4.31,65.51,26.66,48.8,17.82,0.62,0.08,0.57,0.28,226.50,68.04,0.16,0.00,77.2,359,1.9,1.64,154.97,14739913,0.58,42.70,1450250,3139,5330,0,56048,0,106,25.0,-1.05,26,41.9,66.03,14.34,43.1,49.9,55.8,2.15,185.82,3432,31825299,1516628,261000,40.0,2.98,1.82,15,226.50,0.58
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,South America,3.3,3.9,3.5,3.6,Medium,161688,15.9,,,,5.9,0.048999999,0.123999998,21.80499911,30.68099976,91.12200165,69.19499969,19.10152239,22.01028152,-2.481792445,11683.94962,-3.467376243,8.84E+11,15.49293308,,19870,15.13467046,7.856775274,20755018,132.0931513,24000,515857737.2,24.76093384,64.12127729,11.11778888,16.2585101,36.61348375,16.7,44494502,0.4,1,,3468,91.87,77.29000092,72.07499695,94,96,77,,,,,6.92,,,,50,19629,,39.901,175313,,,175313,25.996,114219,81.19,60,60,80,100,100,80,80,60,20,40,20,40,40,80,40,60,40,60,1.15,91.87,,14.7,8.36,0.10,0.03,0.83,,62.79,-41.67,0.01,0.10,9.9,26,0.4,0.28,0.00,1122,0.35,41.20,54443,64620,33251,0,9617,0,134,4.6,0.03,45,100.0,99.00,74.29,132.1,94.3,99.1,39.60,1531.04,11653,44780675,18081937,6720000,40.0,3.92,1.92,25,62.79,0.35
Armenia,ARM,ARM,Europe & Central Asia,Lower middle income,Western Asia,3.3,4,3.3,3.5,Medium,,2.8,,,,6.1,32.83300018,26.91600037,38.66799879,24.16300011,58.19400024,48.92100143,11.7709355,16.19150706,5.2,4212.070943,4.95169918,30926485342,13.61241304,4.2,10480,21.93378132,26.31719558,1303827,121.259018,-24989,1488016544,20.63342192,68.11276042,11.25381766,103.6802248,57.95676756,14.4,2951776,0.4,2.1,,17970,63.149,61.58100128,58.85300064,94,100,83,48,45,,,7.04,94,97,90,42,,,44.023,12964,,,12964,61.07,16796,82.25,100,80,60,100,80,100,80,100,60,80,80,60,60,100,100,80,80,80,0.31,63.15,94.04,9.3,7.05,0.07,0.04,0.76,0.00,0.92,127.95,1.10,11.97,12.4,36,0.2,0.10,0.00,39149,0.26,33.60,0,9900,11700,0,18085,0,120,4.3,-0.02,42,100.0,99.74,64.74,121.3,93.6,99.9,28.99,876.86,4212,2957728,,1495000,80.0,11.66,3.23,32,0.92,0.26
Australia,AUS,AUS,East Asia & Pacific,High income: OECD,Australia and New Zealand,2.5,4,1.6,2.5,Low,665384,4.6,,,,5.6,1.631000042,3.367000103,10.63399966,29.98999977,90.27999878,66.64199829,30.68500827,32.49237132,2.940333582,57373.68668,1.331877548,1.25E+12,21.72715262,,50050,13.66259095,14.4613913,13382706,113.5787106,791229,1861417361,19.19061704,65.15290773,15.65647523,3.249129487,22.29337459,,24982688,,,,56933,86.012,88.07700348,79.73100281,100,,,76,,,1012,17.31,,,,38,,,36.778,90417,39971,44304,6142,125.508,287405,162.4,80,100,100,100,100,100,80,100,100,100,100,100,100,60,100,100,100,100,1.70,86.01,,,6.57,0.00,0.00,0.94,,-20.32,0.00,,0.13,3.7,7,0.1,0.08,,20123,0.10,35.80,51143,600,19410,0,117578,0,132,2.4,1.60,77,100.0,,86.55,113.6,100.0,100.0,35.87,4529.89,57305,25203200,75667645,8815000,100.0,27.17,4.64,29,-20.32,0.10
Austria,AUT,AUT,Europe & Central Asia,High income: OECD,Western Europe,2.5,3.4,2.9,2.9,Low,130260,2.6,,,,6.6,3.15899992,3.947000027,7.385000229,37.00999832,85.125,59.04299927,28.35440316,42.42789765,2.419763638,51461.95478,1.8470512,4.89E+11,27.63844551,,55300,6.011423009,10.01194835,4607129,123.5352681,324998,3139372479,14.29794763,66.70048591,19.00156646,107.2069267,36.8497527,,8840521,,,4864,128769,58.297,90.66000366,85.8219986,100,100,100,97,100,92,,16.27,,,,76,,,51.697,45596,13745,24198,7653,2.63,0,135.09,100,0,80,100,100,100,80,80,40,80,20,0,60,100,20,0,0,60,0.91,58.30,,,4.94,0.00,0.00,0.91,,0.00,0.00,,0.69,3.5,7,,0.05,,135,0.07,30.50,330,0,0,0,166133,0,148,2.4,1.45,77,100.0,,87.48,123.5,100.0,100.0,51.44,5295.18,51513,8955108,12935505,29460000,0.0,2.48,4.15,36,0.00,0.07
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,Western Asia,4.1,4.3,3.2,3.8,Medium,19960,8.8,,,,6.1,41.41899872,30.68099976,55.2310009,23.09000015,52.52700043,46.22999954,19.00503511,16.89934919,1.412873527,4721.178087,0.512193853,1.70E+11,32.96647514,,17100,13.85468754,11.10480095,5107354,103.9214187,6002,1225790000,23.36956986,70.43524739,6.195182751,120.2653199,41.28926287,,9939800,,,2133.07,1131,55.68,27.14299965,36.54999924,93,96,88,,92,,,3.88,83,,,47,,,34.46,32756,8307,18405,6044,64.338,56148,102.73,100,80,60,100,80,100,80,80,60,80,80,80,100,100,100,80,80,100,1.50,55.68,83.24,,8.44,0.61,0.09,0.75,,11.74,102.81,0.19,2.61,21.5,67,0.1,0.13,0.00,1655112,0.32,26.60,0,0,0,344000,1340,0,131,2.4,-0.10,30,100.0,99.79,79.80,103.9,92.5,91.4,34.47,1193.06,4721,10047719,2279546,2454000,60.0,3.33,4.65,26,11.74,0.32
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income: nonOECD,Caribbean,3.4,3.7,4.2,3.8,Medium,56629.4567,16.9,,,,8.8,0.324000001,3.763999939,14.06600025,24.33399963,96.74199677,71.90200043,22.57744978,29.42015419,1.565759936,32217.87159,0.544150189,11694814996,12.70831786,,30330,10.44056501,77.24679959,225914,98.95082681,4999,,22.48487567,70.25752197,7.257602357,38.52547453,0,,385640,,,,15,83.025,91.78600311,80.66400146,95,,,,,,,14.76,,,,29,,104,20.068,766,,,766,45.669,1761,62.39,60,60,80,80,100,80,80,60,60,80,80,40,20,60,60,40,40,40,1.13,83.03,,,6.85,0.00,0.00,0.81,,341.49,0.00,,,10.2,15,3.3,0.66,,3940,0.35,,0,0,15000,0,42,0,114,18.1,0.54,64,100.0,,85.00,99.0,94.9,98.9,19.37,1435.57,31858,389486,1197116,1439000,40.0,25.62,,26,341.49,0.35
