Country Name,Country Code,Country Code.1,Region,Income Group,Sub-Region,INFORM: Hazard & Exposure risk score,INFORM: Vulnerability risk score,INFORM: Lack of Coping Capacity risk score,INFORM: Epidemic risk score,INFORM: Epidemic risk class,Death by communicable diseases (% of total),Diabetes prevalence (% of population ages 20 to 79),"Employment in agriculture, female (%)","Employment in agriculture, male (%)","Employment in industry, female (%)","Employment in industry, male (%)","Employment in services, female (%)","Employment in services, male (%)",Fixed broadband subscriptions (# per 100 people),Fixed telephone subscriptions (# per 100 people),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Labor force, total (#)",Mobile subscriptions (# per 100 people),Net migration (#),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Urban population (%),"Population, total (#)",Refugee population by country of asylum (#),"Wage and salaried workers, female (%)","Wage and salaried workers, male (%)",Handwashing with soap (%),Government health expenditure (%),Hospital bed density (#),"Medical doctors (# per 10,000)",Medical doctors (#),"Nursing and midwife personnel (# per 10,000)",Nurses (#),Policies to implement IHR (score out of 100),Financing to implement IHR (score out of 100),Financing to respond to health emergencies (score out of 100),IHR coordination (score out of 100),Lab testing access (score out of 100),Early warning surveillance (score out of 100),Mechanism for event management (score out of 100),Human Resources to implement IHR (score out of 100),Emergency preparedness planning (score out of 100),Management of health emergency response (score out of 100),Emergency resource mobilization (score out of 100),IHR case management (score out of 100),Infection prevention and control (score out of 100),Access to essential health services (score out of 100),Risk communication capacity (score out of 100),Transportation capacity (score out of 100),Health response at points of entry (score out of 100),Detection resources and alert (score out of 100),People affected by Natural Disasters.1,People affected by Natural Disasters.2,Humanitarian Aid (FTS).1,INFORM: Region Hazard & Exposure risk score,INFORM: Region Vulnerability risk score,INFORM: Region Lack of Coping Capacity risk score,INFORM: Region Epidemic risk score,INFORM: Income Group Hazard & Exposure risk score,INFORM: Income Group Vulnerability risk score,INFORM: Income Group Lack of Coping Capacity risk score,INFORM: Income Group Epidemic risk score,INFORM: Hazard & Exposure risk class,INFORM: Vulnerability risk class,INFORM: Lack of Coping Capacity risk class
Afghanistan,AFG,AFG,South Asia,Low income,Southern Asia,6.2,7.2,6.9,6.8,Very High,36.4,9.2,65.23000336,36.97600174,79.72600174,16.45199966,10.07900047,46.5719986,0.043040552,0.343791756,1.030660058,520.8966027,-1.350178336,73130655911.0,1970,10699525,59.12084823,-314602,43.09017551,54.32489755,2.58492694,42.33119836,37172386,72231,7.885000229,20.23399925,43,12.0,5,2.782,9842,1.755,6370,20,40,40,60,60,80,80,40,20,40,40,40,40,80,20,40,20,20,10606750,130942,11853.88,5.0375000000000005,5.1625,5.175,5.075,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,Very High,Very High
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,Southern Europe,3.6,3.3,4.3,3.7,Medium,2.9,9.0,40.70100021,33.80899811,52.85199928,22.89900017,43.31999969,43.29199982,12.55565885,8.62481528,4.145237936,5268.848504,4.40251487,38263095508.0,13350,1319734,94.17699827,-69998,17.67287372,68.58239036,13.74473591,27.50639254,2866376,131,46.20999908,43.49700165,98,9.37,29,12.164000000000001,3511,36.495,10534,100,60,60,100,40,100,100,80,40,40,40,60,20,60,40,80,80,20,800,14007,53.54,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Low,Medium
Algeria,DZA,DZA,Middle East & North Africa,Upper middle income,Northern Africa,4.3,4.5,3.2,4.0,Medium,14.8,6.7,3.535000086,11.03800011,26.992999199999996,32.06900024,72.86299896,56.89400101,7.262935415,9.948087552999999,1.4,4114.715061,-0.615183264,620000000000.0,14970,12303850,111.66479209999999,-50002,30.14867859,63.48882487,6.362496545,8.782309903,42228429,94350,74.64800262,67.21900177,88,9.9,19,17.192999999999998,72604,15.477,56411,100,100,100,100,100,80,80,80,60,20,80,80,100,100,60,80,40,100,200,125025,623.25,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
Angola,AGO,AGO,Sub-Saharan Africa,Upper middle income,Middle Africa,6.7,5.8,5.7,6.1,High,63.4,4.5,56.36299896,44.3429985,65.99500084,15.20199966,42.5320015,40.45500183,0.355604536,0.557803272,-2.133493257,3432.3857359999997,-5.287779594,190000000000.0,6170,13164510,43.13051888,32066,46.80892471,50.97470164,2.2163736480000003,38.51529774,30809762,39865,17.76000023,41.83399963,50,5.0,8,2.146,6400,4.075,12554,20,40,80,100,80,100,100,60,60,80,80,60,40,60,80,40,20,40,3139,5330,226.5,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,3.75,4.3625,3.910416666666666,3.9395833333333345,Very High,High,High
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,South America,3.3,3.9,3.5,3.6,Medium,15.9,5.9,0.048999999,0.12399999800000001,21.80499911,30.68099976,91.12200165,69.19499969,19.10152239,22.01028152,-2.481792445,11683.94962,-3.467376243,884000000000.0,19870,20755018,132.09315130000002,24000,24.76093384,64.12127729,11.11778888,36.61348375,44494502,3468,77.29000092,72.07499695,94,6.92,50,39.900999999999996,175313,25.996,114219,60,60,80,100,100,80,80,60,20,40,20,40,40,80,40,60,40,60,64620,33251,62.79,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,Medium
Armenia,ARM,ARM,Europe & Central Asia,Lower middle income,Western Asia,3.3,4.0,3.3,3.5,Medium,2.8,6.1,32.83300018,26.91600037,38.66799879,24.16300011,58.19400024,48.92100143,11.7709355,16.19150706,5.2,4212.070943,4.95169918,30926485342.0,10480,1303827,121.259018,-24989,20.63342192,68.11276042,11.25381766,57.95676756,2951776,17970,61.58100128,58.85300064,94,7.04,42,44.023,12964,61.07,16796,100,80,60,100,80,100,80,100,60,80,80,60,60,100,100,80,80,80,9900,11700,0.92,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Low,Medium,Low
Australia,AUS,AUS,East Asia & Pacific,High income: OECD,Australia and New Zealand,2.5,4.0,1.6,2.5,Low,4.6,5.6,1.631000042,3.367000103,10.63399966,29.98999977,90.27999878,66.64199829,30.68500827,32.49237132,2.940333582,57373.68667999999,1.331877548,1250000000000.0,50050,13382706,113.5787106,791229,19.19061704,65.15290773,15.65647523,22.29337459,24982688,56933,88.07700348,79.73100281,100,17.31,38,36.778,90417,125.508,287405,80,100,100,100,100,100,80,100,100,100,100,100,100,60,100,100,100,100,600,19410,-20.32,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Austria,AUT,AUT,Europe & Central Asia,High income: OECD,Western Europe,2.5,3.4,2.9,2.9,Low,2.6,6.6,3.15899992,3.947000027,7.385000229,37.00999832,85.125,59.04299927,28.35440316,42.42789765,2.419763638,51461.95478,1.8470512,489000000000.0,55300,4607129,123.53526809999998,324998,14.29794763,66.70048591,19.00156646,36.8497527,8840521,128769,90.66000366,85.82199859999999,100,16.27,76,51.696999999999996,45596,2.63,0,100,0,80,100,100,100,80,80,40,80,20,0,60,100,20,0,0,60,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Low,Low
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,Western Asia,4.1,4.3,3.2,3.8,Medium,8.8,6.1,41.41899872,30.68099976,55.2310009,23.09000015,52.52700043,46.22999954,19.00503511,16.89934919,1.412873527,4721.178086999999,0.512193853,170000000000.0,17100,5107354,103.9214187,6002,23.36956986,70.43524739,6.195182751,41.28926287,9939800,1131,27.14299965,36.54999924,93,3.88,47,34.46,32756,64.33800000000001,56148,100,80,60,100,80,100,80,80,60,80,80,80,100,100,100,80,80,100,0,0,11.74,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income: nonOECD,Caribbean,3.4,3.7,4.2,3.8,Medium,16.9,8.8,0.32400000100000004,3.7639999389999996,14.06600025,24.33399963,96.74199677,71.90200043,22.57744978,29.42015419,1.5657599359999999,32217.87159,0.544150189,11694814996.0,30330,225914,98.95082681,4999,22.48487567,70.25752197,7.257602357000001,0.0,385640,15,91.78600311,80.66400146,95,14.76,29,20.067999999999998,766,45.669,1761,60,60,80,80,100,80,80,60,60,80,80,40,20,60,60,40,40,40,0,15000,341.49,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,,,,,Low,Medium,Medium
