Country,gov_health_exp%
Afghanistan,12
Albania,9.37
Algeria,9.9
Andorra,27.92
Angola,5
Antigua and Barbuda,18.08
Argentina,6.92
Armenia,7.04
Australia,17.31
Austria,16.27
Azerbaijan,3.88
Bahamas,14.76
Bahrain,10.47
Bangladesh,5.66
Barbados,10.92
Belarus,13.79
Belgium,15.1
Belize,13.81
Benin,9.55
Bhutan,8.03
Bolivia (Plurinational State of),11.75
Bosnia and Herzegovina,14.11
Botswana,8.84
Brazil,6.78
Brunei Darussalam,6.47
Bulgaria,10.95
Burkina Faso,11.16
Burundi,13.19
Cabo Verde,11.73
Cambodia,6.13
Cameroon,4.26
Canada,18.77
Central African Republic,14.17
Chad,8.97
Chile,15.88
China,10.43
Colombia,18.14
Comoros,8.66
Congo,8.71
Cook Islands,6.12
Costa Rica,23.34
Côte d'Ivoire,7.35
Croatia,13.99
Cuba,18.01
Cyprus,7.58
Czechia,14.91
Democratic Republic of the Congo,11.06
Denmark,16.77
Djibouti,14.14
Dominica,10.47
Dominican Republic,17.36
Ecuador,10.23
Egypt,5.59
El Salvador,16.69
Equatorial Guinea,6.96
Eritrea,3.6
Estonia,13.54
Eswatini,16.58
Ethiopia,15.75
Fiji,9.25
Finland,12.35
France,15.69
Gabon,7.38
Gambia,15.31
Georgia,5
Germany,19.65
Ghana,6.82
Greece,9.98
Grenada,9.21
Guatemala,17.83
Guinea,9
Guinea-Bissau,7.79
Guyana,9.45
Haiti,6.14
Honduras,15.4
Hungary,10.14
Iceland,15.73
India,5.05
Indonesia,5.73
Iran (Islamic Republic of),17.53
Iraq,6.46
Ireland,13.44
Israel,11.57
Italy,13.65
Jamaica,8.08
Japan,20.28
Jordan,13.68
Kazakhstan,10.9
Kenya,12.8
Kiribati,5.81
Kuwait,5.77
Kyrgyzstan,11.92
Lao People's Democratic Republic,3.44
Latvia,9.81
Lebanon,10.72
Lesotho,13.08
Liberia,11.86
Libya,4.93
Lithuania,13.36
Luxembourg,13.64
Madagascar,10.18
Malawi,16.77
Malaysia,6.45
Maldives,26.59
Mali,5.64
Malta,15.64
Marshall Islands,23.76
Mauritania,6.01
Mauritius,9.99
Mexico,11.58
Micronesia (Federated States of),21.23
Monaco,18.82
Mongolia,6.72
Montenegro,9.84
Morocco,6.03
Mozambique,8.81
Myanmar,3.59
Namibia,13.86
Nauru,5.24
Nepal,11.18
Netherlands,20.86
New Zealand,23.36
Nicaragua,23.95
Niger,7.57
Nigeria,8.17
Niue,5.9
Norway,18.21
Oman,6.76
Pakistan,4.73
Palau,18.11
Panama,14.63
Papua New Guinea,9.54
Paraguay,11.92
Peru,15
Philippines,10.01
Poland,10.7
Portugal,11.91
Qatar,5.83
Republic of Korea,12.28
Republic of Moldova,13.32
Republic of North Macedonia,12.89
Romania,12.84
Russian Federation,9.49
Rwanda,9.86
Saint Kitts and Nevis,6.89
Saint Lucia,11.47
Saint Vincent and the Grenadines,14.82
Samoa,15.08
San Marino,13.23
Sao Tome and Principe,12.39
Saudi Arabia,8.21
Senegal,8.04
Serbia,13.86
Seychelles,9.7
Sierra Leone,10.84
Singapore,14.15
Slovakia,14.95
Slovenia,12.83
Solomon Islands,12.54
South Africa,14.23
South Sudan,4
Spain,14.5
Sri Lanka,11.17
Sudan,11.65
Suriname,11.84
Sweden,19.03
Switzerland,22.7
Syrian Arab Republic,4.8
Tajikistan,6.84
Thailand,13.28
Timor-Leste,2.44
Togo,7.85
Tonga,13.5
Trinidad and Tobago,8.17
Tunisia,14.16
Turkey,10.5
Turkmenistan,8.68
Tuvalu,16.91
Uganda,10.97
Ukraine,10.8
United Arab Emirates,8.69
United Kingdom of Great Britain and Northern Ireland,16.52
United Republic of Tanzania,12.31
United States of America,21.29
Uruguay,20.77
Uzbekistan,10.74
Vanuatu,17.94
Venezuela (Bolivarian Republic of),5.8
Viet Nam,14.22
Yemen,3.93
Zambia,11.31
Zimbabwe,8.49
