Country Name,Country Code,NY.GDP.MKTP.KD.ZG_2018
Aruba,ABW,
Afghanistan,AFG,1.030660058
Angola,AGO,-2.133493257
Albania,ALB,4.145237936
Andorra,AND,1.629345471
Arab World,ARB,2.045975654
United Arab Emirates,ARE,1.726349343
Argentina,ARG,-2.481792445
Armenia,ARM,5.2
American Samoa,ASM,2.18487395
Antigua and Barbuda,ATG,7.389197162
Australia,AUS,2.940333582
Austria,AUT,2.419763638
Azerbaijan,AZE,1.412873527
Burundi,BDI,1.609933082
Belgium,BEL,1.458405353
Benin,BEN,6.858002271
Burkina Faso,BFA,6.832388103
Bangladesh,BGD,7.863708893
Bulgaria,BGR,3.081157234
Bahrain,BHR,1.776728358
"Bahamas, The",BHS,1.565759936
Bosnia and Herzegovina,BIH,3.62354616
Belarus,BLR,3.04990555
Belize,BLZ,3.035403657
Bermuda,BMU,
Bolivia,BOL,4.223624932
Brazil,BRA,1.11758735
Barbados,BRB,-0.498428866
Brunei Darussalam,BRN,0.052237791
Bhutan,BTN,3.027640595
Botswana,BWA,4.453584566
Central African Republic,CAF,3.789443593
Canada,CAN,1.896974756
Central Europe and the Baltics,CEB,4.305527225
Switzerland,CHE,2.750516981
Channel Islands,CHI,
Chile,CHL,4.024652965
China,CHN,6.56697386
Cote d'Ivoire,CIV,7.433071625
Cameroon,CMR,4.062405319
"Congo, Dem. Rep.",COD,5.757932738
"Congo, Rep.",COG,1.025554207
Colombia,COL,2.569220988
Comoros,COM,3.430764136
Cabo Verde,CPV,5.077550829
Costa Rica,CRI,2.633984968
Caribbean small states,CSS,1.261314459
Cuba,CUB,2.248480393
Curacao,CUW,-2.166132047
Cayman Islands,CYM,
Cyprus,CYP,4.060191762
Czech Republic,CZE,2.957784473
Germany,DEU,1.527446298
Djibouti,DJI,5.460190759
Dominica,DMA,2.264570234
Denmark,DNK,2.391329685
Dominican Republic,DOM,6.982527584
Algeria,DZA,1.4
East Asia & Pacific (excluding high income),EAP,6.294999734
Early-demographic dividend,EAR,4.125244271
East Asia & Pacific,EAS,4.197954189
Europe & Central Asia (excluding high income),ECA,2.850265288
Europe & Central Asia,ECS,2.137992757
Ecuador,ECU,1.37712703
"Egypt, Arab Rep.",EGY,5.314121037
Euro area,EMU,1.899849965
Eritrea,ERI,
Spain,ESP,2.351008131
Estonia,EST,4.761158469
Ethiopia,ETH,6.810169391
European Union,EUU,2.01485496
Fragile and conflict affected situations,FCS,1.969292791
Finland,FIN,1.671438881
Fiji,FJI,3.526209372
France,FRA,1.724880627
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,0.211658399
Gabon,GAB,0.835804969
United Kingdom,GBR,1.38567357
Georgia,GEO,4.8
Ghana,GHA,6.263480732
Gibraltar,GIB,
Guinea,GIN,6.163853325
"Gambia, The",GMB,6.547026565
Guinea-Bissau,GNB,3.799999992
Equatorial Guinea,GNQ,-6.128749289
Greece,GRC,1.934370827
Grenada,GRD,4.17721519
Greenland,GRL,3.218027331
Guatemala,GTM,3.145043317
Guam,GUM,-0.26835346
Guyana,GUY,4.10000155
High income,HIC,2.237871305
"Hong Kong SAR, China",HKG,3.002475556
Honduras,HND,3.745584746
Heavily indebted poor countries (HIPC),HPC,4.112241213
Croatia,HRV,2.630785623
Haiti,HTI,1.483879788
Hungary,HUN,5.094002564
IBRD only,IBD,4.592034239
IDA & IBRD total,IBT,4.574750435
