Country Name,Country Code,NY.GNP.MKTP.PP.CD_2018
Aruba,ABW,
Afghanistan,AFG,73130655911
Angola,AGO,1.89952E+11
Albania,ALB,38263095508
Andorra,AND,
Arab World,ARB,7.41086E+12
United Arab Emirates,ARE,7.26517E+11
Argentina,ARG,8.84195E+11
Armenia,ARM,30926485342
American Samoa,ASM,
Antigua and Barbuda,ATG,2454321910
Australia,AUS,1.25087E+12
Austria,AUT,4.89263E+11
Azerbaijan,AZE,1.7E+11
Burundi,BDI,8330508692
Belgium,BEL,5.90958E+11
Benin,BEN,27628119098
Burkina Faso,BFA,38940578794
Bangladesh,BGD,7.37578E+11
Bulgaria,BGR,1.56636E+11
Bahrain,BHR,70156170735
"Bahamas, The",BHS,11694814996
Bosnia and Herzegovina,BIH,48467618797
Belarus,BLR,1.82462E+11
Belize,BLZ,2992485221
Bermuda,BMU,
Bolivia,BOL,87131766927
Brazil,BRA,3.32041E+12
Barbados,BRB,4667897110
Brunei Darussalam,BRN,35252187280
Bhutan,BTN,6980310102
Botswana,BWA,40572833197
Central African Republic,CAF,4312284264
Canada,CAN,1.76357E+12
Central Europe and the Baltics,CEB,3.09071E+12
Switzerland,CHE,5.86111E+11
Channel Islands,CHI,
Chile,CHL,4.53016E+11
China,CHN,2.53029E+13
Cote d'Ivoire,CIV,1.00773E+11
Cameroon,CMR,93424876351
"Congo, Dem. Rep.",COD,75581872085
"Congo, Rep.",COG,26541515900
Colombia,COL,7.18868E+11
Comoros,COM,2438908249
Cabo Verde,CPV,3957666044
Costa Rica,CRI,83474844127
Caribbean small states,CSS,1.13025E+11
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,34697802147
Czech Republic,CZE,3.9878E+11
Germany,DEU,4.52446E+12
Djibouti,DJI,
Dominica,DMA,735429002.7
Denmark,DNK,3.2706E+11
Dominican Republic,DOM,1.80136E+11
Algeria,DZA,
East Asia & Pacific (excluding high income),EAP,3.3361E+13
Early-demographic dividend,EAR,3.35829E+13
East Asia & Pacific,EAS,4.49821E+13
Europe & Central Asia (excluding high income),ECA,8.92817E+12
Europe & Central Asia,ECS,3.16705E+13
Ecuador,ECU,1.95068E+11
"Egypt, Arab Rep.",EGY,1.19109E+12
Euro area,EMU,1.5908E+13
Eritrea,ERI,
Spain,ESP,1.85982E+12
Estonia,EST,46189738291
Ethiopia,ETH,2.19428E+11
European Union,EUU,1.94192E+13
Fragile and conflict affected situations,FCS,2.4137E+12
Finland,FIN,2.68065E+11
Fiji,FJI,8959585628
France,FRA,3.10575E+12
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,410438170.5
Gabon,GAB,35395915103
United Kingdom,GBR,3.01553E+12
Georgia,GEO,42913436786
Ghana,GHA,1.38523E+11
Gibraltar,GIB,
Guinea,GIN,30577798935
"Gambia, The",GMB,5849125142
Guinea-Bissau,GNB,3367258480
Equatorial Guinea,GNQ,22852131754
Greece,GRC,3.18259E+11
Grenada,GRD,1571358313
Greenland,GRL,
Guatemala,GTM,1.43394E+11
Guam,GUM,
Guyana,GUY,6559420962
High income,HIC,6.17087E+13
"Hong Kong SAR, China",HKG,5.05287E+11
Honduras,HND,45956016905
Heavily indebted poor countries (HIPC),HPC,1.91741E+12
Croatia,HRV,1.11138E+11
Haiti,HTI,20876532279
Hungary,HUN,2.91657E+11
IBRD only,IBD,6.94646E+13
IDA & IBRD total,IBT,7.60702E+13
IDA total,IDA,6.68719E+12
IDA blend,IDB,3.12525E+12
Indonesia,IDN,3.3924E+12
IDA only,IDX,3.55469E+12
Isle of Man,IMN,
India,IND,1.03933E+13
Not classified,INX,
Ireland,IRL,3.25435E+11
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,6.61456E+11
Iceland,ISL,19514871807
Israel,ISR,3.54818E+11
Italy,ITA,2.55536E+12
Jamaica,JAM,26124741589
Jordan,JOR,93926407709
Japan,JPN,5.61566E+12
Kazakhstan,KAZ,4.46852E+11
Kenya,KEN,1.76732E+11
Kyrgyz Republic,KGZ,23904185741
Cambodia,KHM,66085615275
Kiribati,KIR,511451339.6
St. Kitts and Nevis,KNA,1496321526
"Korea, Rep.",KOR,2.06981E+12
Kuwait,KWT,3.48576E+11
Latin America & Caribbean (excluding high income),LAC,9.50992E+12
Lao PDR,LAO,50083273955
Lebanon,LBN,89094811433
Liberia,LBR,5461943836
Libya,LBY,1.42508E+11
St. Lucia,LCA,2362064176
Latin America & Caribbean,LCN,1.0315E+13
Least developed countries: UN classification,LDC,3.04792E+12
Low income,LIC,1.66552E+12
Liechtenstein,LIE,
Sri Lanka,LKA,2.84055E+11
Lower middle income,LMC,2.2998E+13
Low & middle income,LMY,7.44768E+13
Lesotho,LSO,7750817046
Late-demographic dividend,LTE,4.29488E+13
Lithuania,LTU,95743837672
Luxembourg,LUX,43877541657
Latvia,LVA,57379060710
"Macao SAR, China",MAC,71882125194
St. Martin (French part),MAF,
Morocco,MAR,3.08533E+11
Monaco,MCO,
Moldova,MDA,27020228933
Madagascar,MDG,48242225997
Maldives,MDV,7276787489
Middle East & North Africa,MEA,9.34677E+12
Mexico,MEX,2.43992E+12
Marshall Islands,MHL,297590734.5
Middle income,MIC,7.28787E+13
North Macedonia,MKD,32644207769
Mali,MLI,43023703297
