Country,pop_bas_hnd_wash_fac%_tot_2017,pop_bas_hnd_wash_fac%_urb_2017,pop_bas_hnd_wash_fac%_rur_2017
Afghanistan,38,64,29
Algeria,84,88,73
Angola,27,34,13
Armenia,94,97,90
Azerbaijan,83,,
Bangladesh,35,51,26
Barbados,,,
Belize,90,91,90
Benin,11,17,6
Bhutan,,,
Bolivia (Plurinational State of),25,28,19
Bosnia and Herzegovina,,,
Burkina Faso,12,23,8
Burundi,6,20,4
Cambodia,66,88,60
Cameroon,9,15,3
Central African Republic,,,
Chad,6,18,2
Colombia,65,73,35
Comoros,,,
Congo,48,56,32
Costa Rica,,,
Côte d'Ivoire,19,28,10
Cuba,85,88,76
Democratic Republic of the Congo,4,7,2
Dominican Republic,55,58,42
Ecuador,81,84,75
Egypt,90,93,88
El Salvador,91,92,86
Equatorial Guinea,,,
Eswatini,24,48,17
Ethiopia,8,23,4
Gambia,8,12,1
Ghana,41,45,37
Guatemala,77,83,70
Guinea,17,26,13
Guinea-Bissau,6,9,5
Guyana,77,75,78
Haiti,23,29,16
Honduras,,,
India,60,80,49
Indonesia,64,72,55
Iraq,95,96,90
Jamaica,,,
Kazakhstan,99,99,99
Kenya,25,32,22
Kyrgyzstan,89,93,87
Lao People's Democratic Republic,50,67,41
Lesotho,2,6,1
Liberia,1,2,1
Madagascar,,,
Malawi,9,15,7
Maldives,96,97,95
Mali,52,70,39
Marshall Islands,83,84,77
Mauritania,43,55,29
Mexico,88,90,80
Mongolia,71,81,49
Mozambique,,,
Myanmar,79,92,74
Namibia,45,62,27
Nepal,48,67,43
Niger,,,
Nigeria,42,53,31
Oman,97,,
Pakistan,60,83,46
Paraguay,80,84,72
Peru,,,56
Philippines,78,85,73
Republic of Moldova,,,
Rwanda,5,13,3
Saint Lucia,,,
Sao Tome and Principe,41,39,47
Senegal,24,42,9
Serbia,,,
Sierra Leone,19,27,14
Solomon Islands,36,59,29
Somalia,10,12,8
South Africa,44,53,27
Sudan,23,32,19
Suriname,,,
Syrian Arab Republic,71,72,69
Tajikistan,73,87,67
Thailand,84,85,83
Timor-Leste,28,43,22
Togo,10,20,4
Trinidad and Tobago,,,
Tunisia,79,90,54
Turkmenistan,100,100,100
Uganda,21,34,17
United Republic of Tanzania,48,63,40
Vanuatu,25,48,17
Viet Nam,86,93,82
Yemen,50,71,38
Zambia,14,26,5
Zimbabwe,37,49,31
