Country,Year,hos.beds.per10k.#
Afghanistan,2015,5
Albania,2013,29
Algeria,2015,19
Angola,2005,8
Antigua and Barbuda,2014,38
Argentina,2014,50
Armenia,2015,42
Australia,2014,38
Austria,2013,76
Azerbaijan,2013,47
Bahamas,2013,29
Bahrain,2014,20
Bangladesh,2015,8
Barbados,2014,58
Belarus,2013,110
Belgium,2014,62
Belize,2014,13
Benin,2010,5
Bhutan,2012,17
Bolivia (Plurinational State of),2014,11
Bosnia and Herzegovina,2013,35
Botswana,2010,18
Brazil,2014,22
Brunei Darussalam,2015,27
Bulgaria,2013,68
Burkina Faso,2010,4
Burundi,2014,8
Cabo Verde,2010,21
Cambodia,2015,8
Cameroon,2010,13
Canada,2012,27
Central African Republic,2011,10
Chad,2005,4
Chile,2013,22
China,2012,42
Colombia,2014,15
Comoros,2010,22
Congo,2005,16
Cook Islands,2005,63
Costa Rica,2015,12
Côte d'Ivoire,2006,4
Croatia,2015,56
Cuba,2014,52
Cyprus,2013,34
Czechia,2015,65
Democratic People's Republic of Korea,2010,143
Democratic Republic of the Congo,2006,8
Denmark,2015,25
Djibouti,2014,14
Dominican Republic,2014,16
Ecuador,2013,15
Egypt,2014,16
El Salvador,2014,13
Equatorial Guinea,2010,21
Eritrea,2011,7
Estonia,2015,50
Eswatini,2011,21
Ethiopia,2015,3
Fiji,2011,23
Finland,2015,44
France,2013,65
Gabon,2008,13
Gambia,2011,11
Georgia,2013,26
Germany,2013,83
Ghana,2011,9
Greece,2015,43
Grenada,2014,37
Guatemala,2014,6
Guinea,2011,3
Guinea-Bissau,2009,10
Guyana,2014,16
Haiti,2013,7
Honduras,2014,7
Hungary,2013,70
Iceland,2014,32
India,2011,7
Indonesia,2015,12
Iran (Islamic Republic of),2014,15
Iraq,2014,14
Ireland,2013,28
Israel,2013,31
Italy,2012,34
Jamaica,2013,17
Japan,2012,134
Jordan,2015,14
Kazakhstan,2013,67
Kenya,2010,14
Kiribati,2015,19
Kuwait,2014,20
Kyrgyzstan,2013,45
Lao People's Democratic Republic,2012,15
Latvia,2013,58
Lebanon,2014,29
Lesotho,2006,13
Liberia,2010,8
Libya,2014,37
Lithuania,2013,73
Luxembourg,2015,48
Madagascar,2010,2
Malawi,2011,13
Malaysia,2015,19
Maldives,2009,43
Mali,2010,1
Malta,2014,47
Mauritania,2006,4
Mauritius,2011,34
Mexico,2015,15
Mongolia,2012,70
Montenegro,2012,40
Morocco,2014,11
Mozambique,2011,7
Myanmar,2012,9
Namibia,2009,27
Nauru,2010,50
Nepal,2012,3
Netherlands,2009,47
New Zealand,2013,28
Nicaragua,2014,9
Niger,2015,3
Nigeria,2004,5
Niue,2006,52
Norway,2013,39
Oman,2014,16
Pakistan,2014,6
Panama,2013,23
Paraguay,2011,13
Peru,2014,16
Philippines,2010,5
Poland,2013,65
Portugal,2013,34
Qatar,2014,12
Republic of Korea,2015,115
Republic of Moldova,2013,58
Republic of North Macedonia,2013,44
Romania,2013,63
Russian Federation,2013,82
Rwanda,2006,16
Saint Lucia,2013,13
Saint Vincent and the Grenadines,2014,26
Sao Tome and Principe,2011,29
Saudi Arabia,2014,27
Senegal,2008,3
Serbia,2012,57
Seychelles,2011,36
Sierra Leone,2006,4
Singapore,2015,24
Slovakia,2015,58
Slovenia,2013,46
Solomon Islands,2012,14
Somalia,2014,9
South Africa,2005,28
Spain,2013,30
Sri Lanka,2010,35
Sudan,2013,8
Suriname,2010,31
Sweden,2013,26
Switzerland,2013,47
Syrian Arab Republic,2014,15
Tajikistan,2013,48
Thailand,2005,21
Timor-Leste,2009,59
Togo,2011,7
Trinidad and Tobago,2014,30
Tunisia,2015,23
Turkey,2013,27
Turkmenistan,2013,74
Tuvalu,2001,56
Uganda,2010,5
Ukraine,2013,88
United Arab Emirates,2013,12
United Kingdom of Great Britain and Northern Ireland,2013,28
United Republic of Tanzania,2010,7
United States of America,2013,29
Uruguay,2014,28
Uzbekistan,2013,40
Venezuela (Bolivarian Republic of),2014,8
Viet Nam,2014,26
Yemen,2014,7
Zambia,2010,20
Zimbabwe,2011,17
