Country,Year,doc_per10k#,doc_#,gen_med_prac#,spec_med_prac#,med_doc#
Afghanistan,2016,2.782,9842,,,9842
Albania,2016,12.164,3511,,,3511
Algeria,2018,17.193,72604,32774,39830,
Andorra,2015,33.333,260,,,260
Angola,2017,2.146,6400,,,6400
Antigua and Barbuda,2017,29.56,282,,,282
Argentina,2017,39.901,175313,,,175313
Armenia,2017,44.023,12964,,,12964
Australia,2017,36.778,90417,39971,44304,6142
Austria,2017,51.697,45596,13745,24198,7653
Azerbaijan,2014,34.46,32756,8307,18405,6044
Bahamas,2017,20.068,766,,,766
Bahrain,2015,9.257,1270,,,1270
Bangladesh,2018,5.809,93741,,,93741
Barbados,2017,24.843,711,,,711
Belarus,2015,51.905,48995,,,48995
Belgium,2017,30.709,35069,12992,21630,447
Belize,2017,11.229,422,,,422
Benin,2018,0.791,908,346,562,
Bhutan,2018,4.242,320,210,110,
Bolivia (Plurinational State of),2016,15.901,17542,,,17542
Bosnia and Herzegovina,2015,21.616,7413,836,5419,1158
Botswana,2016,5.269,1138,308,,830
Brazil,2018,21.643,453351,,,453351
Brunei Darussalam,2017,16.09,683,,,683
Bulgaria,2015,40.332,29038,4517,24521,
Burkina Faso,2017,0.847,1626,888,738,
Burundi,2017,1.001,1084,889,195,
Cabo Verde,2015,7.814,410,,,410
Cambodia,2014,1.927,2944,,376,2568
Cameroon,2011,0.881,1842,1420,422,
Canada,2016,23.105,84063,,,84063
Central African Republic,2015,0.721,324,,38,286
Chad,2017,0.434,651,,,651
Chile,2018,25.912,48531,25041,23490,
China,2017,19.798,2828999,,,2828999
Colombia,2018,21.848,108499,,,108499
Comoros,2016,2.715,216,216,,
Congo,2011,1.645,723,,200,523
Cook Islands,2014,14.124,25,,,25
Costa Rica,2018,28.939,14468,8542,5926,
Côte d'Ivoire,2014,2.314,5240,,,5240
Croatia,2016,29.996,12624,,,12624
Cuba,2018,84.218,95487,,,95487
Cyprus,2016,19.509,2283,,,2283
Czechia,2018,41.208,43951,,,43951
Democratic People's Republic of Korea,2017,36.834,93667,,80553,13114
Democratic Republic of the Congo,2016,0.74,5832,5832,,
