Country,Year,nur_mid_wife_per10k#,Nursing and midwifery personnel  (number),nurse#,Midwifery personnel (number)
Afghanistan,2017,1.755,6370,6370,
Albania,2016,36.495,10534,10534,
Algeria,2018,15.477,65359,56411,8948
Andorra,2015,40.128,313,296,17
Angola,2018,4.075,12554,12554,
Antigua and Barbuda,2018,45.171,435,435,
Argentina,2017,25.996,114219,114219,
Armenia,2017,61.07,17984,16796,1188
Australia,2017,125.508,308556,287405,21151
Austria,2018,2.63,2338,,2338
Azerbaijan,2014,64.338,61157,56148,5009
Bahamas,2018,45.669,1761,1761,
Bahrain,2015,24.944,3422,3422,
Bangladesh,2018,4.124,66544,57211,9333
Barbados,2018,30.6,877,877,
Belarus,2015,110.027,103859,98875,4984
Belgium,2018,194.614,223460,210507,12953
Belize,2018,23.414,897,897,
Benin,2018,3.888,4465,3410,1055
Bhutan,2018,18.518,1397,1397,
Bolivia (Plurinational State of),2017,15.589,17449,17449,
Bosnia and Herzegovina,2018,57.333,19057,19057,
Botswana,2018,54.03,12179,12179,
Brazil,2018,101.19,2119620,2119620,
Brunei Darussalam,2018,58.974,2530,2530,
Bulgaria,2015,48.156,34671,31397,3274
Burkina Faso,2017,8.829,16945,10376,6569
Burundi,2017,8.526,9231,9071,160
Cabo Verde,2018,12.983,706,706,
Cambodia,2018,6.855,11140,11140,
Cameroon,2013,0.058,127,,127
Canada,2018,99.438,368664,368664,
Central African Republic,2015,2.063,927,322,605
Chad,2017,2.322,3487,3487,
Chile,2018,133.248,249563,236427,13136
China,2017,26.621,3804021,3804021,
Colombia,2018,13.309,66095,66095,
Comoros,2016,6.285,500,,500
Congo,2018,6.271,3289,3289,
Cook Islands,2018,67.429,118,118,
Costa Rica,2018,34.144,17070,17070,
Côte d'Ivoire,2018,6.048,15163,15163,
Croatia,2016,81.224,34184,34184,
Cuba,2018,75.614,85732,85732,
Cyprus,2016,52.512,6145,6145,
Czechia,2017,83.955,89337,85372,3965
Democratic People's Republic of Korea,2017,44.489,113135,105125,8010
Democratic Republic of the Congo,2018,11.101,93326,93326,
Denmark,2016,103.195,58938,56991,1947
Djibouti,2014,7.288,655,488,167
