Country Name,Country Code,BX.TRF.PWKR.CD.DT_2018
Aruba,ABW,37362837.99
Afghanistan,AFG,803546453.8
Angola,AGO,1579247.15
Albania,ALB,1458210056
Andorra,AND,
Arab World,ARB,57311323649
United Arab Emirates,ARE,
Argentina,ARG,515857737.2
Armenia,ARM,1488016544
American Samoa,ASM,
Antigua and Barbuda,ATG,24706009.46
Australia,AUS,1861417361
Austria,AUT,3139372479
Azerbaijan,AZE,1225790000
Burundi,BDI,48328631.78
Belgium,BEL,12313700384
Benin,BEN,198742396
Burkina Faso,BFA,455650092.2
Bangladesh,BGD,15562375119
Bulgaria,BGR,2395410000
Bahrain,BHR,
"Bahamas, The",BHS,
Bosnia and Herzegovina,BIH,2121660433
Belarus,BLR,1375400000
Belize,BLZ,92512738.78
Bermuda,BMU,1444367328
Bolivia,BOL,1391583100
Brazil,BRA,2933489276
Barbados,BRB,108310000
Brunei Darussalam,BRN,
Bhutan,BTN,58148515.8
Botswana,BWA,31587060.33
Central African Republic,CAF,
Canada,CAN,1351563683
Central Europe and the Baltics,CEB,33436587093
Switzerland,CHE,2565756335
Channel Islands,CHI,
Chile,CHL,66095534.58
China,CHN,24305605211
Cote d'Ivoire,CIV,325292800
Cameroon,CMR,333558920.3
"Congo, Dem. Rep.",COD,1822706176
"Congo, Rep.",COG,
Colombia,COL,6364341387
Comoros,COM,162631155.3
Cabo Verde,CPV,233492411.4
Costa Rica,CRI,533509663.1
Caribbean small states,CSS,3413310192
Cuba,CUB,
Curacao,CUW,155284916.2
Cayman Islands,CYM,
Cyprus,CYP,497777154.9
Czech Republic,CZE,3913327762
Germany,DEU,18031927237
Djibouti,DJI,58960000
Dominica,DMA,49178680.74
Denmark,DNK,1375504605
Dominican Republic,DOM,6814200000
Algeria,DZA,1792000000
East Asia & Pacific (excluding high income),EAP,1.00218E+11
Early-demographic dividend,EAR,3.11439E+11
East Asia & Pacific,EAS,1.15675E+11
Europe & Central Asia (excluding high income),ECA,64940680575
Europe & Central Asia,ECS,1.82866E+11
Ecuador,ECU,3039078509
"Egypt, Arab Rep.",EGY,25515700000
Euro area,EMU,87609541354
Eritrea,ERI,
Spain,ESP,3355210688
Estonia,EST,566495675.1
Ethiopia,ETH,436325463.1
European Union,EUU,1.24044E+11
Fragile and conflict affected situations,FCS,31925572760
Finland,FIN,949728778.9
Fiji,FJI,284669971.1
France,FRA,27010261605
Faroe Islands,FRO,158410000
"Micronesia, Fed. Sts.",FSM,23340000
Gabon,GAB,18460000
United Kingdom,GBR,4389788199
Georgia,GEO,2034288456
Ghana,GHA,3520561672
Gibraltar,GIB,
Guinea,GIN,28430000
"Gambia, The",GMB,203603173.2
Guinea-Bissau,GNB,127921034.9
Equatorial Guinea,GNQ,
Greece,GRC,489699591.4
Grenada,GRD,48455938.36
Greenland,GRL,
Guatemala,GTM,9437674500
Guam,GUM,
Guyana,GUY,333692746
High income,HIC,1.46211E+11
"Hong Kong SAR, China",HKG,424573814.6
Honduras,HND,4776545983
Heavily indebted poor countries (HIPC),HPC,27797048951
Croatia,HRV,2884256726
Haiti,HTI,3142260453
Hungary,HUN,4234529335
IBRD only,IBD,3.70557E+11
IDA & IBRD total,IBT,4.99664E+11
IDA total,IDA,1.29107E+11
IDA blend,IDB,61105890502
Indonesia,IDN,11215344812
IDA only,IDX,68000992230
Isle of Man,IMN,
India,IND,78790170929
Not classified,INX,
Ireland,IRL,623629069
"Iran, Islamic Rep.",IRN,1330000000
Iraq,IRQ,741700000
Iceland,ISL,168887014.1
Israel,ISR,939600000
Italy,ITA,9949656789
Jamaica,JAM,2501614919
Jordan,JOR,4470140845
Japan,JPN,4365520653
Kazakhstan,KAZ,618039381
Kenya,KEN,2718738698
Kyrgyz Republic,KGZ,2688570122
Cambodia,KHM,1433190687
Kiribati,KIR,17960000
St. Kitts and Nevis,KNA,25857329.98
"Korea, Rep.",KOR,7125100000
Kuwait,KWT,27716388.99
Latin America & Caribbean (excluding high income),LAC,88930334445
Lao PDR,LAO,238674068.2
Lebanon,LBN,6939992569
Liberia,LBR,459924732.1
Libya,LBY,
St. Lucia,LCA,42983521.57
