Country Name,Country Code,SP.POP.0014.TO.ZS_2018
Aruba,ABW,17.80244697
Afghanistan,AFG,43.09017551
Angola,AGO,46.80892471
Albania,ALB,17.67287372
Andorra,AND,
Arab World,ARB,32.78043618
United Arab Emirates,ARE,14.60350937
Argentina,ARG,24.76093384
Armenia,ARM,20.63342192
American Samoa,ASM,
Antigua and Barbuda,ATG,22.08109175
Australia,AUS,19.19061704
Austria,AUT,14.29794763
Azerbaijan,AZE,23.36956986
Burundi,BDI,45.50168075
Belgium,BEL,17.05542276
Benin,BEN,42.44768239
Burkina Faso,BFA,44.94808132
Bangladesh,BGD,27.70602248
Bulgaria,BGR,14.59546532
Bahrain,BHR,19.25431012
"Bahamas, The",BHS,22.48487567
Bosnia and Herzegovina,BIH,14.76621765
Belarus,BLR,16.86594305
Belize,BLZ,30.27976537
Bermuda,BMU,
Bolivia,BOL,31.07354775
Brazil,BRA,21.33407191
Barbados,BRB,17.34294815
Brunei Darussalam,BRN,23.02646149
Bhutan,BTN,25.77135373
Botswana,BWA,34.11294602
Central African Republic,CAF,44.29432055
Canada,CAN,15.87025087
Central Europe and the Baltics,CEB,15.13564214
Switzerland,CHE,14.91095477
Channel Islands,CHI,15.18835888
Chile,CHL,19.75390247
China,CHN,17.87700275
Cote d'Ivoire,CIV,41.93697214
Cameroon,CMR,42.63157984
"Congo, Dem. Rep.",COD,46.16564209
"Congo, Rep.",COG,41.76350246
Colombia,COL,23.07789598
Comoros,COM,39.53842383
Cabo Verde,CPV,28.77776695
Costa Rica,CRI,21.32474411
Caribbean small states,CSS,23.71292425
Cuba,CUB,16.21123899
Curacao,CUW,18.88394613
Cayman Islands,CYM,
Cyprus,CYP,16.78784796
Czech Republic,CZE,15.58660552
Germany,DEU,13.6210301
Djibouti,DJI,29.57411596
Dominica,DMA,
Denmark,DNK,16.45826256
Dominican Republic,DOM,27.9771295
Algeria,DZA,30.14867859
East Asia & Pacific (excluding high income),EAP,20.49881239
Early-demographic dividend,EAR,28.89757075
East Asia & Pacific,EAS,19.76754704
Europe & Central Asia (excluding high income),ECA,21.03908655
Europe & Central Asia,ECS,18.01505685
Ecuador,ECU,28.028592
"Egypt, Arab Rep.",EGY,33.79872071
Euro area,EMU,15.06811691
Eritrea,ERI,
Spain,ESP,14.66700111
Estonia,EST,16.35707375
Ethiopia,ETH,40.78298191
European Union,EUU,15.14803651
Fragile and conflict affected situations,FCS,40.97632031
Finland,FIN,16.14518297
Fiji,FJI,29.5126222
France,FRA,17.95646444
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,31.70720881
Gabon,GAB,37.0258697
United Kingdom,GBR,17.67808207
Georgia,GEO,19.7952406
Ghana,GHA,37.59606159
Gibraltar,GIB,
Guinea,GIN,43.85017334
"Gambia, The",GMB,44.26874506
Guinea-Bissau,GNB,42.33915221
Equatorial Guinea,GNQ,37.11659887
Greece,GRC,14.07124487
Grenada,GRD,23.56128986
Greenland,GRL,
Guatemala,GTM,34.43539539
Guam,GUM,24.46370832
Guyana,GUY,28.2145452
High income,HIC,16.52346669
"Hong Kong SAR, China",HKG,11.90089708
Honduras,HND,31.74088153
Heavily indebted poor countries (HIPC),HPC,42.85605987
Croatia,HRV,14.51194001
Haiti,HTI,33.24224426
Hungary,HUN,14.41199221
IBRD only,IBD,23.58122552
IDA & IBRD total,IBT,27.48292174
IDA total,IDA,38.84850353
IDA blend,IDB,38.74393814
Indonesia,IDN,26.55119731
IDA only,IDX,38.90218812
Isle of Man,IMN,
India,IND,27.05330185
Not classified,INX,
Ireland,IRL,21.40641959
"Iran, Islamic Rep.",IRN,24.47655866
Iraq,IRQ,38.3865654
Iceland,ISL,19.83232011
Israel,ISR,27.92524646
Italy,ITA,13.32911609
Jamaica,JAM,23.75009668
Jordan,JOR,34.24549021
Japan,JPN,12.69684881
Kazakhstan,KAZ,28.46054978
Kenya,KEN,39.78216693
Kyrgyz Republic,KGZ,32.35041711
Cambodia,KHM,31.20141476
Kiribati,KIR,35.53997946
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,12.97332358
Kuwait,KWT,21.53888805
Latin America & Caribbean (excluding high income),LAC,24.76490397
Lao PDR,LAO,32.60391868
Lebanon,LBN,26.09586717
Liberia,LBR,41.12498659
Libya,LBY,28.31923773
St. Lucia,LCA,18.528883
Latin America & Caribbean,LCN,24.55360128
Least developed countries: UN classification,LDC,39.43336248
Low income,LIC,41.88910211
Liechtenstein,LIE,
Sri Lanka,LKA,24.19700102
Lower middle income,LMC,30.17973519
Low & middle income,LMY,27.55259348
Lesotho,LSO,32.71635154
Late-demographic dividend,LTE,19.01575361
Lithuania,LTU,14.88242451
Luxembourg,LUX,15.87882399
Latvia,LVA,15.99577694
"Macao SAR, China",MAC,13.65406658
St. Martin (French part),MAF,
Morocco,MAR,27.20638013
Monaco,MCO,
Moldova,MDA,15.86009086
Madagascar,MDG,40.66815059
Maldives,MDV,20.1479166
Middle East & North Africa,MEA,29.88626216
Mexico,MEX,26.55684819
Marshall Islands,MHL,
Middle income,MIC,25.77099449
North Macedonia,MKD,16.51699963
Mali,MLI,47.54348639
Malta,MLT,14.27690052
Myanmar,MMR,26.37104828
Middle East & North Africa (excluding high income),MNA,31.11104431
Montenegro,MNE,18.20951914
Mongolia,MNG,30.40956831
Northern Mariana Islands,MNP,
Mozambique,MOZ,44.67080015
Mauritania,MRT,40.08318282
Mauritius,MUS,17.79369232
Malawi,MWI,43.90228591
Malaysia,MYS,23.99514109
North America,NAC,18.4202023
Namibia,NAM,36.91024919
New Caledonia,NCL,22.74092567
Niger,NER,49.98432461
Nigeria,NGA,43.86663998
Nicaragua,NIC,30.2016812
Netherlands,NLD,16.10815871
Norway,NOR,17.54903838
Nepal,NPL,30.41426532
Nauru,NRU,
New Zealand,NZL,19.65343146
OECD members,OED,17.82692642
Oman,OMN,22.24650599
Other small states,OSS,29.93923473
Pakistan,PAK,35.2698146
Panama,PAN,27.06230432
Peru,PER,25.79060285
Philippines,PHL,30.9630402
Palau,PLW,
Papua New Guinea,PNG,35.8159344
Poland,POL,15.05227681
Pre-demographic dividend,PRE,43.7518511
Puerto Rico,PRI,16.83608611
"Korea, Dem. People’s Rep.",PRK,20.2021135
Portugal,PRT,13.45790782
Paraguay,PRY,29.4405056
West Bank and Gaza,PSE,38.94736128
Pacific island small states,PSS,35.03655477
Post-demographic dividend,PST,16.09123862
French Polynesia,PYF,22.76189413
Qatar,QAT,13.54076419
Romania,ROU,15.53455496
Russian Federation,RUS,17.91408058
Rwanda,RWA,39.97557302
South Asia,SAS,28.4163476
Saudi Arabia,SAU,25.04284813
Sudan,SDN,40.50879187
Senegal,SEN,43.05543037
Singapore,SGP,12.27828264
Solomon Islands,SLB,40.2415843
Sierra Leone,SLE,41.05963935
El Salvador,SLV,27.13208091
San Marino,SMR,
Somalia,SOM,46.57658407
Serbia,SRB,15.68968075
Sub-Saharan Africa (excluding high income),SSA,42.54010873
South Sudan,SSD,41.82012143
Sub-Saharan Africa,SSF,42.53841232
Small states,SST,29.11989708
Sao Tome and Principe,STP,42.51994996
Suriname,SUR,27.17026337
Slovak Republic,SVK,15.44613676
Slovenia,SVN,15.02177505
Sweden,SWE,17.58178546
Eswatini,SWZ,38.11249154
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,23.63537118
Syrian Arab Republic,SYR,31.42154081
Turks and Caicos Islands,TCA,
Chad,TCD,47.12629999
East Asia & Pacific (IDA & IBRD countries),TEA,20.50249951
Europe & Central Asia (IDA & IBRD countries),TEC,20.48438915
Togo,TGO,41.3345235
Thailand,THA,17.08698882
Tajikistan,TJK,36.78428408
Turkmenistan,TKM,30.82236394
Latin America & the Caribbean (IDA & IBRD countries),TLA,24.75225772
Timor-Leste,TLS,37.78066427
Middle East & North Africa (IDA & IBRD countries),TMN,31.0164046
Tonga,TON,35.41575821
South Asia (IDA & IBRD),TSA,28.4163476
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.53841232
Trinidad and Tobago,TTO,20.41957257
Tunisia,TUN,24.17012035
Turkey,TUR,24.64941014
Tuvalu,TUV,
Tanzania,TZA,44.09823815
Uganda,UGA,46.93052518
Ukraine,UKR,15.81241317
Upper middle income,UMC,20.74864674
Uruguay,URY,20.60798107
United States,USA,18.70903998
Uzbekistan,UZB,28.68605741
St. Vincent and the Grenadines,VCT,22.54130713
"Venezuela, RB",VEN,27.66665058
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,19.7134123
Vietnam,VNM,23.17267683
Vanuatu,VUT,38.84823015
World,WLD,25.79537624
Samoa,WSM,38.32069709
Kosovo,XKX,
"Yemen, Rep.",YEM,39.61489027
South Africa,ZAF,29.07948915
Zambia,ZMB,44.93614116
Zimbabwe,ZWE,42.40106624
