Country,Year,skl_health_pro_per10k#
Afghanistan,2016,6.37
Albania,2013,No data
Algeria,2007,31.16
Andorra,2015,81.31
Angola,2009,15.86
Argentina,2013,81.19
Armenia,2014,82.25
Australia,2015,162.4
Austria,2016,135.09
Azerbaijan,2014,102.73
Bahamas,2011,62.39
Bahrain,2015,34.07
Bangladesh,2015,7.38
Barbados,2005,65.69
Belarus,2014,154.9
Belgium,2015,141.7
Belize,2009,25.83
Benin,2016,7.51
Bhutan,2016,18.93
Bolivia (Plurinational State of),2011,14.79
Bosnia and Herzegovina,2013,77.61
Botswana,2012,31.11
Brazil,2013,92.96
Brunei Darussalam,2015,82.59
Bulgaria,2014,93.18
Burkina Faso,2012,6.78
Cabo Verde,2015,20.44
Cambodia,2014,10.94
Cameroon,2010,6.03
Canada,2015,123.82
Central African Republic,2009,2.99
Chad,2013,3.52
Chile,2009,11.78
China,2015,59.67
Colombia,2014,29.01
Congo,2007,10.48
Cook Islands,2009,69.47
Costa Rica,2013,19.45
Côte d'Ivoire,2008,6.22
Croatia,2014,96.38
Cuba,2014,154.96
Cyprus,2014,66.14
Czechia,2013,120.93
Democratic People's Republic of Korea,2014,75.34
Democratic Republic of the Congo,2009,10.53
Denmark,2014,206.69
Djibouti,2014,7.86
Dominican Republic,2011,28.28
Ecuador,2011,37.5
Egypt,2014,22.48
El Salvador,2008,24.1
Estonia,2015,97.97
Eswatini,2009,15.33
Ethiopia,2009,2.77
Fiji,2015,37.75
Finland,2014,182.27
France,2016,137.98
Gabon,2016,33.03
Gambia,2015,17.25
Georgia,2014,87.47
Germany,2015,179.84
Ghana,2010,10.21
Greece,2014,96.47
Grenada,2006,45.23
Guatemala,2009,17.61
Guinea,2016,4.43
Guinea-Bissau,2009,7.3
Guyana,2010,7.43
Honduras,2005,15.23
Hungary,2015,97.26
Iceland,2015,190.76
India,2016,28.52
Indonesia,2012,15.54
Iran (Islamic Republic of),2014,30.42
Iraq,2014,26.64
Ireland,2016,151.98
Israel,2015,86.47
Italy,2016,97.39
Jamaica,2016,21.37
Japan,2014,136.08
Jordan,2015,65.4
Kazakhstan,2014,116.83
Kenya,2014,17.86
Kiribati,2013,48.18
Kuwait,2015,96.55
Kyrgyzstan,2014,81.08
Lao People's Democratic Republic,2014,14.5
Latvia,2015,81.12
Lebanon,2014,49.42
Liberia,2010,4.79
Libya,2014,89.97
Lithuania,2015,124.29
Luxembourg,2016,150.51
Madagascar,2012,3.61
Malawi,2009,3.54
Malaysia,2015,56.57
Maldives,2015,118.33
Mali,2010,5.28
Malta,2015,130.48
Marshall Islands,2012,40.07
Mauritania,2009,7.85
Mauritius,2015,53.49
Mexico,2015,48.76
Micronesia (Federated States of),2009,38
Monaco,2014,271.64
Mongolia,2015,72.62
Montenegro,2015,80.83
Morocco,2014,14.9
Mozambique,2013,4.56
Myanmar,2012,14.98
Namibia,2007,31.32
Nauru,2011,83.64
Nepal,2014,26.39
Netherlands,2015,139.84
New Zealand,2015,143
Nicaragua,2014,22.98
Niger,2008,1.59
Nigeria,2009,18.25
Niue,2008,116.29
Norway,2015,222.09
Oman,2016,60.68
Pakistan,2015,14.79
Palau,2014,64.46
Panama,2013,38.49
Papua New Guinea,2010,5.87
Paraguay,2012,23.34
Peru,2012,26.09
Poland,2015,79.84
Portugal,2014,108.03
Qatar,2014,76.65
Republic of Korea,2016,92.24
Republic of Moldova,2015,77.06
Republic of North Macedonia,2015,66.68
Romania,2013,90.84
Russian Federation,2015,126.58
Rwanda,2015,8.96
Saint Lucia,2009,19.64
Samoa,2010,18.81
San Marino,2014,154.46
Saudi Arabia,2014,77.74
Senegal,2016,3.78
Serbia,2014,71.6
Seychelles,2012,54.17
Sierra Leone,2010,3.42
Singapore,2016,93.97
Slovakia,2015,94.69
Slovenia,2015,116.6
Solomon Islands,2013,19.71
Somalia,2014,1.08
South Africa,2016,60.46
Spain,2015,91.96
Sri Lanka,2015,36.75
Sudan,2014,42.2
Sweden,2014,160.64
Switzerland,2016,223.02
Syrian Arab Republic,2014,38.48
Tajikistan,2014,69.89
Thailand,2015,27.64
Timor-Leste,2011,15.12
Togo,2008,3.58
Tonga,2010,44.83
Trinidad and Tobago,2011,51.02
Tunisia,2015,39.59
Turkey,2014,44.05
Turkmenistan,2014,70.61
Tuvalu,2009,77.5
Uganda,2015,7.42
Ukraine,2014,100.38
United Arab Emirates,2014,46.19
United Kingdom of Great Britain and Northern Ireland,2016,112.46
United Republic of Tanzania,2014,4.38
United States of America,2014,117.3
Uruguay,2008,97.86
Uzbekistan,2014,149.47
Vanuatu,2012,24.04
Viet Nam,2016,22.55
Yemen,2014,10.68
Zambia,2016,9.76
Zimbabwe,2014,12.44
