"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"," Population using at least basic sanitation services (%)"
"Country"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"
"Afghanistan","43","62","37","42","60","36","41","58","35","39","55","34","38","53","33","37","51","32","35","49","31","34","46","30","33","44","29","32","42","28","30","40","27","29","38","27","28","36","26","27","35","25","26","33","24","25","31","23","24","30","22","24","30","22"
"Albania","98","98","97","98","98","97","98","98","97","98","98","97","97","98","96","97","98","95","96","98","94","96","98","93","95","98","92","94","98","91","94","98","90","93","98","89","92","97","88","91","97","86","91","97","85","90","97","84","89","97","83","88","97","82"
"Algeria","88","90","82","88","90","82","87","90","82","87","90","82","87","90","81","87","90","80","87","90","80","87","90","79","86","90","78","86","90","78","86","91","77","86","91","76","85","91","76","85","91","75","85","91","74","84","91","74","84","91","73","84","91","72"
"Andorra","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Angola","50","64","23","49","63","22","47","62","21","46","61","20","45","60","20","44","59","19","42","58","18","41","57","17","40","56","16","39","55","15","37","54","14","36","53","13","35","52","12","33","51","11","32","50","10","30","49","9","29","49","8","28","48","8"
"Antigua and Barbuda","88","","","88","","","88","","","88","","","88","","","87","","","87","","","86","","","86","","","86","","","85","","","85","","","84","","","84","","","84","","","83","","","83","","","82","",""
"Argentina","","96","","94","96","77","94","96","77","94","96","77","94","96","77","94","95","77","93","95","76","93","94","75","92","94","75","91","93","74","91","93","73","90","92","73","90","92","72","89","91","71","89","91","71","88","90","70","88","90","69","87","89","69"
