"Country","Year","Community Health Workers (number)"
"Australia"," 2006","1012"
"Australia"," 1996","708"
"Bangladesh"," 2018","55136"
"Bangladesh"," 2012","73838"
"Bangladesh"," 2011","60271"
"Bangladesh"," 2005","21000"
"Bangladesh"," 2004","21202"
"Belize"," 2009","158"
"Bhutan"," 2012","578"
"Bhutan"," 2007","424"
"Bhutan"," 2004","405"
"Botswana"," 2012","166"
"Botswana"," 2011","166"
"Botswana"," 2010","166"
"Botswana"," 2009","166"
"Botswana"," 2008","450"
"Botswana"," 2007","476"
"Botswana"," 2006","920"
"Botswana"," 2005","920"
"Botswana"," 2003","867"
"Botswana"," 2002","862"
"Botswana"," 2001","821"
"Botswana"," 2000","1269"
"Botswana"," 1999","775"
"Botswana"," 1998","742"
"Brazil"," 2017","436590"
"Brazil"," 2010","334355"
"Burkina Faso"," 2017","2749"
"Burkina Faso"," 2012","2099"
"Burkina Faso"," 2010","1976"
"Burkina Faso"," 2004","1201"
"Burundi"," 2004","548"
"Cambodia"," 2004","1638"
"Cameroon"," 2011","367"
"Central African Republic"," 2009","1713"
"Central African Republic"," 2008","1746"
"Central African Republic"," 2004","99"
"Chad"," 2004","154"
"China"," 2011","1126443"
"China"," 2010","1091863"
"China"," 2009","1113331"
"China"," 2008","938313"
"China"," 2007","931761"
"China"," 2006","957459"
"China"," 2005","916532"
"China"," 2004","883075"
"China"," 2003","867778"
"China"," 2000","1319357"
"China"," 1999","1324937"
"China"," 1998","1327633"
"China"," 1997","1317786"
"China"," 1996","1316095"
"China"," 1995","1331017"
"China"," 1990","1231510"
"Cook Islands"," 2009","9"
"Costa Rica"," 2016","1357"
"Costa Rica"," 2015","1429"
"Ecuador"," 2015","1054"
"Egypt"," 2018","963"
"El Salvador"," 2016","5419"
"Equatorial Guinea"," 2004","308"
"Eswatini"," 2004","4000"
"Ethiopia"," 2009","30950"
"Ethiopia"," 2008","24571"
"Ethiopia"," 2007","17653"
"Ethiopia"," 2004","15752"
"Ethiopia"," 2003","13433"
"Gambia"," 2008","1150"
"Gambia"," 2007","1156"
"Gambia"," 2003","412"
"Ghana"," 2017","15456"
"Ghana"," 2013","5293"
"Ghana"," 2008","4502"
"Greece"," 2011","260"
"Grenada"," 2003","45"
"Grenada"," 2002","45"
"Grenada"," 2001","45"
"Grenada"," 2000","45"
"Grenada"," 1999","45"
"Grenada"," 1998","40"
"Guinea"," 2016","6700"
"Guinea"," 2015","6700"
"Guinea-Bissau"," 2004","2355"
"Guyana"," 2010","245"
"Guyana"," 2009","245"
"Honduras"," 2016","7114"
"India"," 2018","970676"
"Iran (Islamic Republic of)"," 2004","25242"
"Jamaica"," 2016","893"
"Jamaica"," 2015","858"
"Jamaica"," 2014","711"
"Jamaica"," 2013","696"
"Jamaica"," 2012","643"
"Jamaica"," 2008","727"
"Kenya"," 2018","58079"
"Malawi"," 2018","9928"
"Malawi"," 2008","10055"
"Maldives"," 2014","509"
"Maldives"," 2010","591"
"Maldives"," 2009","513"
"Maldives"," 2007","478"
"Maldives"," 2004","515"
"Maldives"," 1996","323"
"Maldives"," 1993","286"
"Maldives"," 1991","234"
"Maldives"," 1989","224"
"Mali"," 2010","110"
"Mali"," 2009","114"
"Marshall Islands"," 2010","53"
"Mauritania"," 2018","500"
"Mauritius"," 2011","187"
"Mauritius"," 2004","236"
