Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.442015317,7.052067614,12.27019624,13.83759446,15.8028887,18.14952939,18.53038293,18.90153341,,,18.61204548,18.50174417,18.20952454,,,,
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000808843,0.000857557,0.001891571,0.001844982,0.001803604,0.00352177,0.005139537,,0.004813651,0.004648339,0.004494948,0.020535484,0.024873504,0.046313499,0.043040552,
Angola,AGO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037012589,0.0559665,0.073480222,0.066624379,0.064222649,0.06530375,0.081695302,0.085648015,0.325702323,0.550742009,0.293747187,0.325048666,0.355604536,
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008811686,,0.329598108,2.131430676,3.094467361,3.579992422,4.377871687,5.493573307,6.286818262,7.180321133,8.402314745,9.228640975,10.52684499,12.55565885,
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.638852803,4.920608893,8.239336866,13.11194796,18.04600398,22.40578588,24.65002027,27.16100541,29.01396109,30.762893,32.64100355,34.33530592,36.31979599,39.34573329,42.03267915,44.52409709,46.31197569,
Arab World,ARB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146410109,0.308235376,0.493235369,0.873787503,1.275191296,1.96522045,2.101043191,2.675679196,3.038053592,2.803616615,3.346018341,5.105082392,5.545879065,6.965192534,7.551746144,
United Arab Emirates,ARE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012373425,0.062953445,0.253548667,0.478099056,0.817013889,1.379993462,2.818519144,4.539850956,6.156751077,7.864842689,8.720368324,9.202562623,9.690282881,10.44662223,11.32794298,11.84873307,13.32678751,13.86163628,29.11110893,31.40460882,
Argentina,ARG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252175334,0.392763085,0.679610106,1.410369414,2.382751765,4.030842244,6.551710192,7.771278857,8.672885869,9.850015718,11.0647814,12.33040075,14.81423726,15.29042819,15.91589272,16.60166322,17.84999661,19.10152239,
Armenia,ARM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000196677,0.00026368,0.000331353,0.033325335,0.066750099,,0.132986976,0.474580911,1.381119438,3.252541689,5.582161612,7.352142718,8.388287086,9.369734814,9.786833464,10.18921762,10.7076869,11.7709355,
American Samoa,ASM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.068810994,7.120849445,1.863271426,2.696784329,5.838612598,18.46079358,8.087199527,6.72246311,14.45652535,17.09755671,11.61815864,10.68764295,9.7972008,9.431391864,,
Australia,AUS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639760867,1.330318563,2.633487711,5.090633139,9.990812021,19.00001184,,24.91529036,24.00365852,24.8705928,24.63395046,25.03935129,25.71929639,27.69911237,28.53023892,30.39231558,32.22339821,30.68500827,
Austria,AUT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632210727,2.360806595,3.959125426,5.54434666,7.350915843,10.58805704,14.22400998,17.2835331,19.50987865,20.72760735,22.43639807,24.38064725,24.81457091,25.05461216,26.092224,27.38179226,28.2935384,28.84661223,28.47197491,28.35440316,
Azerbaijan,AZE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012081583,,,0.025577949,0.04582773,0.167349763,0.680127678,1.120525015,5.262076415,10.64771177,14.78294152,18.24285161,19.96786744,19.73923241,18.52561662,18.3357575,19.00503511,
Burundi,BDI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001968964,0.001905291,0.004057355,0.005547862,0.007592482,0.016079174,0.017268878,0.035816823,0.037614434,0.036150301,0.03521135,
Belgium,BEL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106707834,0.224277339,1.402592269,4.457894689,7.867120571,11.92939997,15.45730835,19.06329508,23.08574576,25.51629473,27.67016385,29.03572211,30.83667139,32.17547029,33.3052753,34.32772916,35.74653262,36.50842403,37.60922178,38.34561848,39.21686286,
Benin,BEN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000287853,0.000279235,0.001045161,0.002455456,0.018230726,0.008397604,0.096861866,0.213098069,0.293871496,0.396741047,0.429231485,0.424575078,0.441525117,0.692731964,0.20509447,0.256058103,0.235384383,
Burkina Faso,BFA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000406732,0.001145826,0.001181836,0.002860989,0.012401317,0.047235406,0.069885583,0.078904449,0.087823194,0.087446064,0.086462985,0.075922001,0.030751682,0.051649242,0.066415118,0.064402904,0.069959364,
Bangladesh,BGD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030639201,0.034649034,0.217028913,0.280920069,0.313854189,0.397641178,0.998501467,2.001827212,3.131355825,4.173005954,4.571801118,6.343544324,
Bulgaria,BGR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085878838,2.152592923,5.040904142,8.302801019,11.21135362,13.35429536,15.14776819,17.03287187,18.15851452,19.49979205,20.43832945,22.42498723,23.73603406,25.29667253,27.0001679,
Bahrain,BHR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168591274,0.677416459,1.250404516,1.80226645,2.410353995,4.03039175,6.588642548,8.398937416,11.77249392,12.4842448,22.80802503,22.72305576,22.81746092,21.52364201,18.44522474,16.29866067,14.31520217,11.76230339,
"Bahamas, The",BHS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.367730935,2.45075733,3.494087101,4.0148137,4.119325615,5.011887032,6.076072427,7.419671149,9.035651766,6.959446896,4.309496132,21.43383647,19.74295216,20.82059612,21.65064163,22.52480618,22.75490825,22.57744978,
Bosnia and Herzegovina,BIH,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000719774,0.001810672,0.005665817,0.039870575,0.176319286,0.363898951,1.062297367,2.250752501,5.019882688,7.819000208,10.54931733,11.7516098,13.02082235,14.56848433,15.57692832,18.51619004,19.56337748,19.80928085,20.86551291,
Belarus,BLR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000205214,0.001270762,0.007798987,0.01635626,0.119986765,1.79110523,5.056461778,11.57926852,17.69139545,22.28355489,26.88573466,29.56269142,28.46079751,30.75926357,32.47559748,33.47310769,33.86912852,
Belize,BLZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348891157,1.022408356,1.769556025,2.486879095,2.501463088,2.62268474,2.650522,2.764649697,2.936678809,2.950591716,2.863630447,2.801627774,4.81502107,4.987513572,5.057894611,6.436926836,
Bermuda,BMU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.90195753,35.68862456,43.54972856,51.50081145,60.9069038,61.32529936,,,62.28062001,54.2392204,47.10167682,35.97897794,36.17503846,,
Bolivia,BOL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038088423,0.064452213,0.096184392,0.14051744,0.187207717,0.355465992,0.81586561,0.972545573,0.95484043,0.720085491,1.124606318,1.461700715,1.613811476,1.664723963,2.606905809,3.394987249,4.4401541,
Brazil,BRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000588979,0.004062241,0.0572114,0.186798742,0.407157234,0.53146472,1.71595369,1.737414889,2.533386822,4.002227039,5.216317824,6.049928446,7.204858261,9.028728397,9.594011307,10.62528321,11.82082759,12.46258988,13.02890048,13.90912537,14.91053848,
Barbados,BRB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.958480511,10.76342977,11.55966025,13.98314095,16.91173305,17.58053339,20.38569355,19.91628003,22.1331722,23.57552494,23.84767988,27.29034568,27.4316216,30.4017551,31.21244305,31.16790689,
Brunei Darussalam,BRN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5575913,0.795023963,1.086350423,1.742188391,2.225606249,2.420981843,3.098155828,4.451783112,5.217162535,5.583229983,5.889181281,4.974823867,6.81393894,7.384404384,8.29704006,8.604097189,9.675998238,11.52826701,
Bhutan,BTN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306724259,0.497992844,1.265494097,1.90870304,2.389745446,2.883685305,3.473865003,3.829498431,2.23820021,2.240856909,1.43188916,
