Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,,,,14.67112234,16.07691195,17.50588834,19.03976137,20.83998468,22.45888118,25.73388562,28.62268974,30.10828815,29.40175173,29.89668059,28.96391923,28.03129074,33.98735123,40.35576923,38.87608103,40.17553307,41.07297343,41.93587443,39.97072058,39.08960755,38.53963738,38.48911755,38.24714339,38.33131682,38.14289384,37.94569743,36.17367306,34.46478278,,35.10140406,33.92820791,33.72713782,33.54386099,,,,
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.08558434,,,,,0.093408006,,,,,0.143194135,,,,,0.16943596,0.171520053,0.168548206,0.189638142,0.18865032,0.193164218,0.240667985,0.217348645,0.231301839,0.245815161,0.259670463,0.272661145,0.284371609,0.292649211,0.294888893,0.291646002,0.278216052,0.200199564,0.183351634,0.169831715,0.160126714,0.153818108,0.149815629,0.146926463,0.143771872,0.139557582,0.134215838,0.146233956,0.154977408,,,,,,0.01806668,0.056946073,0.04485445,0.288873636,0.296777873,0.305449729,0.319641044,0.322730963,0.327222367,0.343791756,
Angola,AGO,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.122201318,,,,,0.173293106,,,,,0.220699396,,,,,0.256264237,0.261006615,0.265472571,0.320895138,0.372297724,0.431587972,0.424746593,0.550433097,0.49460579,0.478431377,0.475306307,0.46598336,0.580021985,0.587275988,0.584908811,0.590797768,0.587807837,0.386336304,0.407646656,0.392631764,0.378194485,0.365433143,0.418778918,0.423839135,0.423524011,0.395840974,0.453210902,0.45777779,0.469293925,0.502608334,0.497900492,0.487173609,0.451051723,0.526815672,1.346607515,1.203626644,0.658466753,0.829797565,0.82622928,1.066804089,1.021808589,1.055709859,0.54019943,0.557803272,
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.418375517,,,,,0.737855394,,,,,8.043866505,,,,,0.89810974,0.9127852,0.944937537,0.960024875,0.989531894,1.017635284,1.059544191,1.075162842,1.089680341,1.101875254,1.120494115,1.149722818,1.152039077,1.15589709,1.183268491,1.217258411,1.265091551,1.381687465,1.345769074,1.318917826,1.354027195,2.060541517,2.800224018,3.718637906,4.495857267,4.879359002,6.310373122,7.037326942,8.178259108,8.842723032,9.037582488,8.357761831,9.887943235,11.44281871,12.20969187,11.29794442,11.57020165,10.70657933,9.683895874,8.139128994,7.843521202,8.614077281,8.554283747,8.62481528,
Andorra,AND,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,2.695563103,,,,,7.785467128,,,,,12.56147207,13.13528653,14.38161789,16.43003231,18.17737952,19.48041146,23.85066667,26.55059569,29.36354516,30.44068749,31.39013453,33.51032956,34.84676504,35.51374073,37.04049725,39.44669688,41.31919324,42.96630893,43.88971806,45.25104903,46.66405638,48.11062772,49.71473876,51.36416077,52.20910362,52.32451445,51.23921534,49.85367386,48.05963215,45.95771471,44.94148376,45.07426568,44.93372357,44.56726527,44.85040787,45.20006158,45.85358281,46.48962112,47.75298982,48.27111711,49.80066914,50.05886386,49.88376774,51.1323793,
Arab World,ARB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,0.806493441,,,,,0.966662649,1.009812677,1.095670043,1.200562962,1.357364537,,1.657739984,2.018294371,2.180215463,2.324373182,2.570110883,2.749589268,2.881989564,3.010210651,3.175596925,3.385633481,3.605930466,3.846166411,4.058312164,4.294277616,4.570389987,4.897197837,5.266685368,5.775380604,6.390963976,6.871258513,7.383198036,8.099376658,8.637484315,9.034893164,9.272141477,9.468045261,9.903084955,10.06407494,9.728260627,9.863388651,9.617501313,9.374369584,8.679816827,7.417916997,7.600145664,7.855008276,8.395601391,8.466962087,
United Arab Emirates,ARE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,4.70690369,5.652885462,6.776420288,8.62732613,10.34463144,11.8283409,13.00289073,14.00216002,14.47675502,14.59120799,15.15572069,15.25726296,16.1587338,18.20104409,20.44004657,21.68169229,22.58484487,23.94423279,25.45654006,26.80997304,27.83871409,29.06803365,31.26083249,32.53300318,32.87818009,32.54871793,31.88070193,31.43788751,30.59748939,29.19291053,26.95726561,24.71018876,22.46003218,22.51208021,19.95798606,17.30394241,20.40395105,21.52234686,22.67922822,22.82392075,24.38378909,24.41847969,24.46281586,24.31109924,
Argentina,ARG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,4.465705835,,,,,4.963977319,,,,,5.389320628,,,,,6.382951743,6.388807844,6.346253861,6.385562244,6.541435132,6.735605234,7.759757348,8.20068438,7.762700265,8.741967481,8.971634131,9.313698664,9.511065062,10.0279804,9.593091779,9.279145235,9.465930046,10.72056444,11.72334998,14.49563859,16.4067133,17.76817383,19.14551663,19.67494022,19.80729103,21.41045972,21.81433339,20.45703346,22.58952641,22.75946267,24.27606446,24.07692383,23.93894108,24.30836853,24.12910642,24.24263527,23.52954345,22.64541879,22.89808781,23.03714445,23.38485831,23.36292528,22.17797517,22.01028152,
Armenia,ARM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,6.70724195,7.267494677,8.490743222,9.007755678,9.510975173,9.678187366,10.8001789,11.27223095,11.73348319,12.1743402,12.5901545,12.9706886,13.61550453,14.29525669,14.98667882,15.82738652,16.32119519,16.80019589,17.34883328,17.87979719,18.11429786,18.291022,18.12268978,17.90466522,17.61712931,17.37648436,17.42086291,17.89221939,18.67765742,19.29446933,19.9379526,20.41370284,21.30178564,21.55028618,20.77149897,20.58513498,20.40449318,20.23708895,19.96315556,19.66660589,18.84655653,18.10620259,17.01353339,16.19150706,
American Samoa,ASM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,,,,13.15488447,12.63319785,12.25425605,11.89301349,11.55183735,11.23069724,10.93746476,10.67677692,11.61636429,11.2971141,12.02501203,15.68012544,18.23591516,18.43456669,18.44644076,18.29014324,18.15883641,17.87811333,17.73058231,21.51844634,23.78639133,18.00383168,17.34890501,17.46079715,17.59520869,17.81889831,18.08947332,18.34765274,18.5452665,,17.96396429,17.94913216,17.74479755,17.91729377,,,,
Antigua and Barbuda,ATG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,2.648924069,,,,,3.031511767,3.046482916,,,,,5.663430421,6.474692047,8.092317154,9.380765869,11.32942738,12.95462642,15.39284152,17.80770912,20.96503677,25.55655067,21.57274291,26.08924943,29.20473722,36.13475388,37.7020533,39.90138657,43.23329242,46.43286354,48.87912794,50.38412966,48.2619282,48.59314132,47.91929382,47.3013344,44.77996686,45.342426,45.10508652,44.49805028,43.05674037,41.26187122,39.75664684,36.6766583,36.2045981,21.51530866,21.37528589,23.80695463,25.1503783,,
Australia,AUS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,15.25050195,,,,,17.76686427,,,,,21.13650288,,,,,25.69466347,26.55045509,27.72387222,29.23593069,30.87121349,32.50980488,34.30505948,35.76005536,36.80025741,37.93380685,39.49800886,40.84459615,42.11969498,43.10381161,44.39384279,45.9116445,46.80852091,47.44809743,48.51389278,49.72321027,49.46347689,50.41431828,50.850553,51.32613774,51.94753767,52.91860313,52.41037721,53.60446748,53.30162821,52.16389887,50.1522905,48.4256712,46.6620744,43.92403963,49.23485522,47.95826651,46.91188007,45.71700914,44.50672424,38.94657936,35.51655402,34.95075077,34.41175825,32.49237132,
Austria,AUT,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,6.0645056,,,,,8.966267396,,,,,12.89208606,,,,,19.70491336,21.24137306,22.87674476,24.71236965,26.6872008,28.79200268,30.5476498,32.07858376,33.51142731,34.71462188,35.84289314,36.96120318,38.04950996,39.1876446,40.36668101,41.72944436,43.02467057,44.26666656,45.36063089,46.45404443,47.51993118,48.6613453,49.41443139,49.84423676,48.92491262,49.5335641,49.35940214,47.73547246,47.42013432,46.5022597,45.30116979,43.51057041,40.98036779,39.38125515,38.85263267,40.40452564,40.07806943,39.75429026,38.96594617,40.84518388,41.59513105,40.78057906,42.66262172,42.42789765,
Azerbaijan,AZE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,3.701005951,3.98701896,4.605047268,4.867466442,5.286075816,5.527796443,6.240684978,6.457147456,6.664528851,6.862286566,7.050232305,7.376128253,7.688414386,7.974291682,8.278516226,8.560271421,8.428300934,8.301741746,8.182671187,8.267323537,8.225043419,8.211617947,8.305874029,8.513242648,9.063677424,9.863665479,10.54981776,11.18754592,11.25842903,11.99439551,12.81473964,13.63796163,14.36571631,14.85512204,15.69967599,16.67967346,18.41051138,18.60832503,18.72954018,18.88827475,18.66439358,17.46328565,17.14850305,16.89934919,
Burundi,BDI,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,0.045243327,,,,,0.057486561,,,,,0.072955621,0.068949588,,,,,0.046876611,0.050231476,0.05402962,0.082447848,0.111769779,0.135693651,0.141372686,0.142124767,0.144448847,0.14616773,0.183937756,0.226679319,0.268193478,0.26764008,0.288205714,0.250506963,0.259174503,0.288559067,0.30305767,0.313535107,0.314808955,0.329409722,0.345845526,0.389024037,0.377468037,0.366542501,0.362493313,0.374238473,0.370590978,0.403107473,0.334992632,0.188124839,0.222770983,0.220117248,0.214310391,0.186308251,0.216209097,0.222005993,
Belgium,BEL,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,8.500392425,,,,,11.11792442,,,,,13.94846234,,,,,18.93203417,19.81668393,20.88278989,22.14131527,23.51239454,24.74408995,26.18372462,27.52432197,28.4715919,29.52611002,30.57927846,32.50386613,33.86737199,35.39645467,37.19013573,39.1007025,40.79977529,42.31295162,43.44141337,44.73714294,45.96451805,45.29349964,46.63862879,47.43929038,48.84019362,48.98274495,49.73044434,47.57988149,46.78937544,45.81055727,45.45970251,44.52009162,45.31180533,43.92451338,42.68972941,42.41604083,42.07657393,41.80994425,41.11974448,40.39195878,39.76554624,38.49650621,37.4948554,35.75590798,
Benin,BEN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.089487593,,,,,0.0873742,,,,,0.120178276,,,,,0.162717657,0.17510299,0.185557396,0.199549481,0.212572744,0.229072425,0.246300648,0.24645379,0.246290238,0.254545603,0.254341415,0.273197494,0.29069979,0.290957214,0.295351717,0.296836635,0.291504086,0.295584814,0.369610213,0.419042319,0.477617864,0.536225979,0.58031033,0.592773248,0.655092407,0.752175482,0.837929027,0.859021459,0.884389516,0.939212418,0.955460414,0.941255562,1.310085297,1.325630071,1.421499729,1.450410299,1.614181672,1.610761529,1.593698333,1.902060535,1.840647537,1.148659643,0.50815207,0.422357981,
Burkina Faso,BFA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,0.026668563,,,,,0.038995572,0.041440623,0.062510402,0.061248061,,,0.095488149,0.100303775,0.102003772,0.103528741,0.102873909,0.120821709,0.141964329,0.153225618,0.168925396,0.183667433,0.197169441,0.212797241,0.228977283,0.268199093,0.297753848,0.328312322,0.339954466,0.375777529,0.419562656,0.458453359,0.485876992,0.50359958,0.526598149,0.654038976,0.679417938,0.685203515,0.819153999,1.008575722,1.0069349,0.922531228,0.880050775,0.853031452,0.804912614,0.708488499,0.414535689,0.406122225,0.395972873,0.388629381,
Bangladesh,BGD,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,0.070058012,,,,,0.085633178,0.094902638,0.103452617,0.113982722,0.114795687,0.119287553,0.123520936,0.1286754,0.133012168,0.136965353,0.166805886,0.175881764,0.182291084,0.190556019,0.190673869,0.211297729,0.209767833,0.215495479,0.222877731,0.232640935,0.248854019,0.268662289,0.306271032,0.336320128,0.345849674,0.384859203,0.434226794,0.457382061,0.550515005,0.606592922,0.769587596,0.804705229,0.831989255,0.931682035,0.84625439,0.867882953,0.654973833,0.636789705,0.708521834,0.630466933,0.553106104,0.48499608,0.443101181,0.8982994,
Bulgaria,BGR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,9.092756394,10.22661757,12.84994858,12.65633281,15.10869785,15.60946545,16.7124197,17.8321639,19.47423798,21.1040932,22.41068124,24.60479934,25.1566471,26.96595595,28.10653358,29.35656732,30.58623695,31.92798575,32.64898596,33.8916422,35.12328874,36.03152655,36.40282583,36.50792965,36.1019908,35.20890341,32.39279705,31.44306417,30.3610213,29.10350452,29.50946897,29.14822449,30.80284334,29.08241243,26.64472637,25.07677024,22.98525739,20.67931654,18.16069229,15.88846119,
