Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23860,25640,26270,26980,28200,28320,28130,29760,30410,29970,32700,31160,28700,30560,33040,27980,34770,32290,36880,33460,31750,32060,33870,35030,36740,36480,36430,36960,,
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1640,1620,1810,1880,1900,1900,1910,1940,1970,
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760,3120,1220,1230,960,2150,2160,2600,2580,2360,2530,2630,3180,3260,3560,4060,4450,5030,5260,5500,5630,5800,6220,6470,6760,6740,6410,6450,6170,
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,1870,1730,2120,2310,2710,3050,2780,3110,3550,3980,4460,4800,5150,5560,5990,6750,7480,8260,8670,9530,10210,10450,10750,11360,11800,12060,12960,13350,
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6971.407753,6988.751355,7378.79195,7615.719177,7726.223417,7870.261102,8124.347732,8413.120443,8922.015093,9009.091671,9427.097269,9626.355605,9527.556493,9907.575158,10886.27686,11586.40815,12456.68882,13159.3059,13834.68324,13643.9039,14005.46354,14380.77623,15302.64445,15595.37413,16065.51805,16578.25009,17116.80608,17233.35152,17653.71554,
United Arab Emirates,ARE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86230,84810,80530,82910,85560,82940,81680,75170,67450,57560,54210,56600,59010,62720,66550,70550,72810,73680,75440,
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7060,7960,8780,9650,10290,10040,10640,11550,11950,11570,11600,11180,9790,10850,11140,12340,14830,16550,17410,16240,17890,19250,19300,19930,19600,20170,19690,20310,19870,
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,2240,1130,1190,1430,1590,1790,1960,2090,2200,2390,2700,3140,3660,4160,4970,5870,6970,7700,6590,6890,7270,7950,8490,8780,9080,9010,9960,10480,
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10210,11020,11290,12140,12920,12320,13160,13950,14520,14950,15640,15310,15180,16290,17390,18970,21720,23990,23950,20950,19650,19260,19990,19980,20500,21200,21880,23500,25490,
