Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482653128,1656934412,1792246251,1956008861,2162666093,2274720109,2340502831,2542907489,2654120675,2667193328,2970472656,2894708671,2726743035,2964638018,3261970668,2798570070,3506453357,3268910747,3737873635,3394670605,3228330191,3271119262,3474023747,3614101657,3812628575,3805976196,3820427670,3894622536,,
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41187103443,47871884293,48940525323,56390324156,60708991115,63314619108,65514856446,67454810885,70565716024,73130655911,
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32688940425,38220933544,15498802360,16075939356,12981072464,29987945758,31174860989,38650625000,39575169532,37451281828,41432320257,44631778157,55763395566,59153300797,66747074831,78872049616,89735714168,1.05236E+11,1.14065E+11,1.23862E+11,1.31474E+11,1.4038E+11,1.56205E+11,1.6845E+11,1.8218E+11,1.87823E+11,1.84751E+11,1.9223E+11,1.89952E+11,
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8371102206,6113592726,5601718345,6829883850,7398737590,8652727721,9652803319,8745758840,9737479389,11044852253,12292344252,13661994850,14638798756,15646580633,16815599427,18045114003,20210853460,22212514832,24354782233,25393362423,27765145195,29662679393,30304640412,31131750590,32829841484,33990712811,34689883484,37251301433,38263095508,
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55221E+12,1.59855E+12,1.71894E+12,1.82201E+12,1.8964E+12,1.99202E+12,2.10421E+12,2.22798E+12,2.41408E+12,2.49006E+12,2.66169E+12,2.77655E+12,2.80744E+12,2.98331E+12,3.35148E+12,3.64932E+12,4.01669E+12,4.3464E+12,4.6816E+12,4.72938E+12,4.9704E+12,5.2225E+12,5.68407E+12,5.92165E+12,6.23194E+12,6.56546E+12,6.91561E+12,7.0984E+12,7.41086E+12,
United Arab Emirates,ARE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70243E+11,2.80093E+11,2.80158E+11,3.07756E+11,3.48087E+11,3.80547E+11,4.329E+11,4.63685E+11,4.78151E+11,4.55747E+11,4.63533E+11,5.06353E+11,5.3943E+11,5.76858E+11,6.13227E+11,6.53532E+11,6.81584E+11,6.98976E+11,7.26517E+11,
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30167E+11,2.63207E+11,2.94258E+11,3.27927E+11,3.53868E+11,3.49678E+11,3.74948E+11,4.11924E+11,4.31033E+11,4.21781E+11,4.27705E+11,4.16872E+11,3.68784E+11,4.13354E+11,4.28637E+11,4.79749E+11,5.82663E+11,6.56746E+11,6.97741E+11,6.57383E+11,7.29853E+11,7.94325E+11,8.05324E+11,8.41055E+11,8.36247E+11,8.69847E+11,8.58302E+11,8.94619E+11,8.84195E+11,
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8276687588,7835041937,3901349208,4000907746,4690789680,5115217019,5675897846,6152109943,6497653460,6794964733,7341753228,8241813498,9537706212,11041961837,12482228102,14826508319,17378633259,20429404287,22374632459,19030029139,19826473931,20909524017,22940503025,24612813139,25580067872,26568904979,26464459903,29332676835,30926485342,
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
