"Country","Year","Medical and Pathology Laboratory scientists (number)","Medical and Pathology Laboratory Technicians (number)"
"Algeria"," 2018","136","15238"
"Algeria"," 2007","","4922"
"Algeria"," 2002","4555","898"
"Angola"," 2004","","1376"
"Antigua and Barbuda"," 2007","","8"
"Argentina"," 2004","19629",""
"Argentina"," 2001","19774",""
"Argentina"," 1992","7500",""
"Bahamas"," 2011","","104"
"Bahamas"," 2008","","114"
"Bahrain"," 2015","","295"
"Bahrain"," 2014","2","292"
"Bahrain"," 2013","3","293"
"Bahrain"," 2012","3","298"
"Bahrain"," 2011","3","302"
"Bahrain"," 2010","6","307"
"Bahrain"," 2009","5","271"
"Bahrain"," 2008","4","269"
"Bahrain"," 2006","4","254"
"Bahrain"," 2005","4","224"
"Bahrain"," 2004","111","219"
"Bahrain"," 2003","","208"
"Bahrain"," 2002","","204"
"Bahrain"," 2001","","205"
"Bahrain"," 2000","","194"
"Bangladesh"," 2018","26121",""
"Bangladesh"," 2012","","6614"
"Bangladesh"," 2011","","5775"
"Bangladesh"," 2010","","4717"
"Bangladesh"," 2009","","3912"
"Bangladesh"," 2008","","3418"
"Bangladesh"," 2007","","2950"
"Barbados"," 2005","","2"
"Barbados"," 2001","","51"
"Barbados"," 1995","","49"
"Benin"," 2018","668",""
"Benin"," 2016","","1166"
"Benin"," 2013","","830"
"Benin"," 2012","","845"
"Benin"," 2008","","245"
"Benin"," 2004","2","399"
"Bhutan"," 2018","309","71"
"Bhutan"," 2017","63","245"
"Bhutan"," 2016","","51"
"Bhutan"," 2012","","27"
"Bhutan"," 2008","","10"
"Bhutan"," 2007","3","123"
"Bhutan"," 2004","","102"
"Bolivia (Plurinational State of)"," 2011","","562"
"Bolivia (Plurinational State of)"," 2010","","489"
"Bolivia (Plurinational State of)"," 2007","","327"
"Botswana"," 2009","","317"
"Botswana"," 2008","","255"
"Botswana"," 2004","35","181"
"Brazil"," 2017","","43744"
"Brazil"," 2010","","41812"
"Brazil"," 2000","13924","75753"
"Brunei Darussalam"," 2015","113","27"
"Brunei Darussalam"," 2014","","211"
"Brunei Darussalam"," 2012","90","174"
"Brunei Darussalam"," 2011","","252"
"Burkina Faso"," 2017","699",""
"Burkina Faso"," 2012","","458"
"Burkina Faso"," 2010","","478"
"Burkina Faso"," 2004","21","315"
"Burundi"," 2017","1073",""
"Burundi"," 2011","351",""
"Burundi"," 2010","16","335"
"Burundi"," 2004","142",""
"Cambodia"," 2014","554",""
"Cambodia"," 2013","543",""
"Cambodia"," 2012","","531"
"Cambodia"," 1998","383","204"
"Cambodia"," 1996","334","167"
"Cameroon"," 2004","","1793"
"Central African Republic"," 2009","","40"
"Central African Republic"," 2008","","32"
"Central African Republic"," 2004","3","36"
"Chad"," 2004","111","195"
"Chile"," 2009","29",""
"Chile"," 2008","29",""
"Chile"," 2007","29",""
"Chile"," 2006","29",""
"Chile"," 2005","28",""
"Chile"," 2004","29",""
"Chile"," 2003","31",""
"Chile"," 2002","31",""
"China"," 2010","","230572"
"China"," 2009","","220695"
"Comoros"," 2012","","86"
"Comoros"," 2009","","97"
"Comoros"," 2005","","44"
"Comoros"," 2004","7","52"
"Congo"," 2007","280","54"
"Congo"," 2006","516",""
"Congo"," 2004","9","536"
"Congo"," 1998","","250"
"Cook Islands"," 2014","10",""
"Cook Islands"," 2009","6","1"
"Costa Rica"," 2016","9",""
"Costa Rica"," 2015","279",""
"Costa Rica"," 2013","624",""
"Côte d'Ivoire"," 2014","2380","1600"
"Côte d'Ivoire"," 2004","424","460"
"Cuba"," 2014","","6015"
"Cuba"," 2013","","5338"
"Cuba"," 2012","","5502"
"Cuba"," 2010","","6742"
"Cuba"," 2007","","7728"
"Cyprus"," 2008","22","312"
"Cyprus"," 2006","18","240"
"Democratic Republic of the Congo"," 2009","","2126"
"Djibouti"," 2005","3","56"
"Djibouti"," 2004","3","56"
"Ecuador"," 2015","","4140"
"Egypt"," 2018","15234","2349"
"Egypt"," 2017","2122","14133"
"Egypt"," 2016","2237","13169"
"Egypt"," 2004","6542","9043"
"El Salvador"," 2016","","2049"
"El Salvador"," 2008","1975",""
"El Salvador"," 2005","1574",""
"El Salvador"," 1999","891",""
"Equatorial Guinea"," 2004","3","80"
"Eritrea"," 2004","17","183"
"Eswatini"," 2011","","41"
"Eswatini"," 2009","","57"
"Eswatini"," 2004","","47"
"Eswatini"," 2000","","11"
"Ethiopia"," 2009","","2823"
"Ethiopia"," 2008","","2843"
"Ethiopia"," 2007","","172"
"Ethiopia"," 2006","","1935"
"Ethiopia"," 2005","","2837"
"Ethiopia"," 2004","","2403"
"Ethiopia"," 2003","","2403"
"Fiji"," 2015","177",""
"Fiji"," 2009","","125"
"Finland"," 2002","","6822"
"Gabon"," 2017","","442"
"Gabon"," 2016","","287"
"Gabon"," 2004","17","228"
"Gambia"," 2015","11","141"
"Gambia"," 2008","15","84"
"Gambia"," 2007","13","67"
"Gambia"," 2006","62",""
"Gambia"," 2005","57",""
"Gambia"," 2004","40",""
"Gambia"," 2003","","96"
"Ghana"," 2013","","3987"
"Ghana"," 2008","","213"
"Ghana"," 2004","","881"
"Greece"," 2011","","6190"
"Grenada"," 2003","","13"
"Grenada"," 2002","","13"
"Grenada"," 2001","","13"
"Grenada"," 2000","","13"
"Grenada"," 1999","","13"
"Guatemala"," 2018","127","399"
"Guinea"," 2016","","209"
"Guinea"," 2005","78","167"
"Guinea"," 2004","237","19"
"Guinea"," 2000","103","220"
"Guinea-Bissau"," 2016","158","16"
"Guinea-Bissau"," 2009","","207"
"Guinea-Bissau"," 2008","","194"
"Guinea-Bissau"," 2004","12","203"
"Guyana"," 2018","","21"
"Guyana"," 2009","13","65"
"Haiti"," 2018","","1731"
"Haiti"," 2011","","1085"
"Iceland"," 2009","299",""
"Iceland"," 2008","296",""
"Iceland"," 2007","287",""
"Iceland"," 2006","300",""
"Iceland"," 2005","301",""
"Iceland"," 2004","299",""
"Iceland"," 2002","289",""
"Iceland"," 2001","293",""
"Iceland"," 2000","292",""
"India"," 2018","500000",""
"Indonesia"," 2018","164","25215"
"Indonesia"," 2009","","1829"
"Indonesia"," 2003","","7339"
"Indonesia"," 1992","","4331"
"Iran (Islamic Republic of)"," 2006","","7930"
"Iran (Islamic Republic of)"," 2004","3276","9858"
"Iraq"," 2018","","85"
"Jamaica"," 2016","","130"
"Jamaica"," 2015","","141"
"Jamaica"," 2014","","125"
"Jamaica"," 2013","","126"
"Jamaica"," 2012","","124"
"Jordan"," 2004","2000","2350"
"Kenya"," 2004","6000",""
"Kiribati"," 2013","","20"
"Kiribati"," 2008","","27"
"Lao People's Democratic Republic"," 2014","636",""
"Lao People's Democratic Republic"," 2012","568","460"
"Lebanon"," 2005","535",""
"Lesotho"," 2003","","73"
"Liberia"," 2010","","376"
"Liberia"," 2008","","115"
"Liberia"," 2004","150","51"
"Malawi"," 2016","","397"
"Malawi"," 2009","","380"
"Malawi"," 2008","","473"
"Malawi"," 2004","","16"
"Malaysia"," 2015","","6324"
"Malaysia"," 2012","6161",""
"Malaysia"," 2010","","4980"
"Maldives"," 2018","241","2"
"Maldives"," 2017","336","8"
"Maldives"," 2014","285",""
"Maldives"," 2010","","276"
"Maldives"," 2009","","261"
"Maldives"," 2007","","254"
"Maldives"," 2004","","141"
"Maldives"," 1996","","48"
"Maldives"," 1993","","21"
"Maldives"," 1991","","17"
"Maldives"," 1989","","11"
"Mali"," 2010","28","398"
"Mali"," 2009","41","317"
"Mali"," 2004","25","207"
"Marshall Islands"," 2012","","19"
"Marshall Islands"," 2007","","17"
"Mauritania"," 2018","12",""
"Mauritania"," 2009","70","41"
"Mauritania"," 2004","12","70"
"Mauritius"," 2011","1","361"
"Mauritius"," 2004","7","198"
"Mexico"," 2010","","21674"
"Mexico"," 2000","","45482"
"Micronesia (Federated States of)"," 2008","","33"
"Mongolia"," 2016","","435"
"Mongolia"," 2014","","1047"
"Mongolia"," 2013","","1011"
"Mongolia"," 2012","","960"
"Morocco"," 2017","595","890"
"Morocco"," 2004","","827"
"Mozambique"," 2017","","1958"
"Mozambique"," 2013","","1465"
"Mozambique"," 2012","","1425"
"Mozambique"," 2011","","1332"
"Mozambique"," 2010","","1206"
"Mozambique"," 2009","","1142"
"Mozambique"," 2006","144","665"
"Mozambique"," 2004","45","727"
"Myanmar"," 2018","2443","1562"
"Myanmar"," 2015","","4258"
"Myanmar"," 2004","241","1673"
"Namibia"," 2004","","160"
"Nauru"," 2015","4","3"
"Nauru"," 2011","","7"
"Nauru"," 2009","","5"
"Nepal"," 2018","26923",""
"Nepal"," 2004","","3104"
"New Zealand"," 2013","3232",""
"New Zealand"," 2001","","3696"
"Nicaragua"," 2018","","1270"
"Nicaragua"," 2014","","1118"
"Nicaragua"," 2013","","931"
"Nicaragua"," 2012","","923"
"Nicaragua"," 2011","","881"
"Nicaragua"," 2010","","765"
"Nicaragua"," 2009","","853"
"Nicaragua"," 2008","","772"
"Nicaragua"," 2007","","707"
"Nicaragua"," 2006","","689"
"Nicaragua"," 2005","","685"
"Niger"," 2009","369",""
"Niger"," 2008","63","203"
"Niger"," 2004","213","53"
"Nigeria"," 2018","26677","29246"
"Nigeria"," 2008","12703","9980"
"Nigeria"," 2007","12703","11483"
"Niue"," 2008","","1"
"Niue"," 2003","","1"
"Oman"," 2018","2474",""
"Oman"," 2017","2387",""
"Oman"," 2016","2351",""
"Oman"," 2015","2345",""
"Oman"," 2014","2319",""
"Oman"," 2013","","2166"
"Oman"," 2012","","2026"
"Oman"," 2011","","1885"
"Oman"," 2010","","1707"
"Oman"," 2009","","1546"
"Oman"," 2008","","1429"
"Oman"," 2007","","1331"
"Oman"," 2006","","1258"
"Oman"," 2005","","1169"
"Oman"," 2004","","1068"
"Oman"," 2000","","910"
"Oman"," 1999","","669"
"Oman"," 1998","","635"
"Oman"," 1997","","597"
"Oman"," 1995","","670"
"Oman"," 1990","","408"
"Pakistan"," 2015","","37613"
"Pakistan"," 2004","1751","6323"
"Palau"," 1998","","13"
"Paraguay"," 2012","1395",""
"Peru"," 2012","1512",""
"Peru"," 2009","1122",""
"Peru"," 2007","","5620"
"Qatar"," 2006","504",""
"Republic of Korea"," 2004","","35220"
"Republic of Moldova"," 2015","","17776"
"Romania"," 2011","","460"
"Rwanda"," 2017","","1990"
"Rwanda"," 2015","","1545"
"Rwanda"," 2009","","836"
"Rwanda"," 2008","","722"
"Saint Vincent and the Grenadines"," 2004","","13"
"Samoa"," 2014","37",""
"Samoa"," 2008","1","44"
"Sao Tome and Principe"," 2004","","44"
"Saudi Arabia"," 2018","12052","10709"
"Senegal"," 2017","37",""
"Senegal"," 2016","","37"
"Senegal"," 2013","","546"
"Senegal"," 2008","124","90"
"Senegal"," 2004","32","19"
"Serbia"," 2016","","5652"
"Serbia"," 2015","","4369"
"Seychelles"," 2004","","46"
"Sierra Leone"," 2011","183","78"
"Sierra Leone"," 2010","","14"
"Sierra Leone"," 2008","4","43"
"Slovakia"," 2015","","3147"
"Slovakia"," 2013","53","3760"
"Solomon Islands"," 2013","","42"
"Solomon Islands"," 2012","","36"
"Somalia"," 2005","","149"
"South Africa"," 2015","149","453"
"South Africa"," 2014","145","326"
"South Africa"," 2013","144","273"
"South Africa"," 2012","133","171"
"South Africa"," 2011","127","113"
"South Africa"," 2010","114","36"
"Sri Lanka"," 2018","","1850"
"Sri Lanka"," 2017","","1724"
"Sri Lanka"," 2016","1566",""
"Sri Lanka"," 2015","1554",""
"Sri Lanka"," 2014","1461",""
"Sri Lanka"," 2013","1483",""
"Sri Lanka"," 2012","1478",""
"Sri Lanka"," 2011","1480",""
"Sri Lanka"," 2007","291","901"
"Sri Lanka"," 2004","1","913"
"Sri Lanka"," 1993","","587"
"Sudan"," 2004","35","2416"
"Thailand"," 2016","","2442"
"Timor-Leste"," 2011","","132"
"Timor-Leste"," 2010","","123"
"Timor-Leste"," 2009","","114"
"Timor-Leste"," 2008","","75"
"Timor-Leste"," 2007","","49"
"Timor-Leste"," 2004","3","32"
"Timor-Leste"," 2001","","23"
"Togo"," 2018","460","183"
"Togo"," 2017","454","201"
"Togo"," 2016","276","129"
"Togo"," 2015","407",""
"Togo"," 2010","","603"
"Togo"," 2008","","360"
"Togo"," 2007","","405"
"Togo"," 2004","171","310"
"Tonga"," 2013","","25"
"Tonga"," 2009","7","21"
"Trinidad and Tobago"," 2018","348",""
"Tunisia"," 2004","358","1942"
"Uganda"," 2015","","2447"
"Uganda"," 2004","","1538"
"United Republic of Tanzania"," 2014","93","2508"
"United Republic of Tanzania"," 2012","89","1997"
"United Republic of Tanzania"," 2002","","1327"
"United States of America"," 2010","552276",""
"United States of America"," 2005","508354",""
"United States of America"," 2000","91331","382300"
"Uruguay"," 2016","","1420"
"Uruguay"," 2008","601",""
"Vanuatu"," 2012","59",""
"Yemen"," 2010","1113","1809"
"Yemen"," 2004","1054","2405"
"Yemen"," 1997","50","791"
"Zambia"," 2018","441",""
"Zambia"," 2016","921",""
"Zambia"," 2012","184","1126"
"Zambia"," 2011","146","1021"
"Zambia"," 2010","","546"
"Zambia"," 2009","","526"
"Zambia"," 2008","","412"
"Zambia"," 2006","25","392"
"Zambia"," 2005","","417"
"Zambia"," 2004","","1163"
"Zimbabwe"," 2018","644","1126"
"Zimbabwe"," 2017","","781"
"Zimbabwe"," 2016","","600"
"Zimbabwe"," 2015","","644"
"Zimbabwe"," 2014","","519"
"Zimbabwe"," 2013","343",""
"Zimbabwe"," 2012","352",""
"Zimbabwe"," 2011","433",""
"Zimbabwe"," 2010","97","191"
"Zimbabwe"," 2009","274",""
"Zimbabwe"," 2008","317",""
"Zimbabwe"," 2007","320",""
"Zimbabwe"," 2004","481","61"
"Zimbabwe"," 1995","","543"
"Zimbabwe"," 1990","","168"
