Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.75316338,37.72065324,37.66769718,37.59811032,37.50871127,37.40175687,37.28729887,37.12338711,36.88475961,36.60301904,36.27288429,35.90549366,36.11778937,36.95340601,37.8858019,38.95332446,40.15044925,41.48251274,43.06660366,45.02256227,45.77026307,47.00173093,48.67582902,50.67501217,52.75913547,54.67438834,56.39236068,57.62945178,58.18468906,59.24769938,58.94191255,57.23480457,54.67413076,52.09493023,50.20362586,49.24851542,49.22477335,49.87873212,50.89719418,51.81921826,52.33685092,52.36846022,52.09147717,51.72797747,50.94021681,49.88037171,49.18532873,48.74108102,48.41336244,48.02442307,47.47570789,46.74723862,45.91161052,45.0502456,44.26963378,43.62365133,43.11873712,42.69901682,42.33119836,
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.54858034,39.03209172,40.00327827,41.05531825,42.26471082,43.67086502,45.32949806,47.20183581,49.12816329,50.83866701,52.12412403,51.74130091,49.99518576,48.08371509,46.22558109,44.54642957,43.05294889,41.69485508,40.43505506,39.23022302,38.0581182,36.91892605,35.82929111,34.79402881,34.49856291,34.23455408,34.00690166,33.8133574,33.6607561,33.54980544,33.48920827,33.47528983,33.50659437,33.5767627,33.41928709,33.54688026,33.6964082,33.86107353,34.04310223,34.23889107,34.44738986,34.66445461,34.89480474,35.12923778,35.36059214,35.57948278,36.04704189,36.50760573,36.9739247,37.45235621,37.96061968,38.49872738,39.07115244,39.67303406,40.17169672,39.69814019,39.26810187,38.87338364,38.51529774,
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.28054868,26.81389118,26.2942615,25.81251551,25.35771909,24.94187584,24.56248957,24.1902294,23.77375284,23.37281665,23.12389625,22.90713336,22.67678162,22.4780523,22.29633352,22.11542862,21.95767392,21.79894701,21.67248993,21.56540559,21.46543697,21.37554945,21.26382058,21.15107694,21.04446543,20.94763428,20.87822098,20.795758,20.73826706,20.55005312,20.65364653,21.26244462,21.72932393,22.20960716,22.70418739,23.21430443,23.73968228,24.2807522,24.83857051,25.41401239,26.00731663,26.54429748,26.46772954,26.42325929,26.40292424,26.41963536,26.48044638,26.58658302,26.70904959,26.82048607,26.89647184,26.9245712,26.9370626,26.97777681,27.04495807,27.15607043,27.25146958,27.34798649,27.50639254,
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.86840784,33.96854413,34.10435984,34.25751613,34.43875003,34.62099825,34.71520933,34.6160772,34.54579206,34.51664781,34.51107019,34.56033567,34.63574117,34.73931523,34.81352053,34.85035645,34.63509582,34.36470542,33.97641274,33.58303535,33.19090825,32.80034064,32.4292339,32.02007216,31.64937762,31.33108088,31.05841405,30.94166913,30.95942278,30.94535796,30.85870211,30.87979082,30.29406406,30.333888,30.33202549,30.80425947,30.84659362,30.79906835,30.74014303,30.68151054,30.62537716,30.56862334,30.57911889,30.51470648,30.26175148,30.02630403,29.79885154,29.40240704,29.34251737,29.29601639,29.21189153,28.76444216,28.70303525,28.66924827,28.66958123,28.71324951,28.80393879,28.89902283,29.01576915,
United Arab Emirates,ARE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,49.40450778,47.13437813,44.11203433,41.16158168,38.8752849,37.31852017,36.44600857,35.81857766,36.01237855,38.15423343,38.94368982,38.7910867,38.33528323,37.88383983,37.69147459,37.87070557,36.68334906,34.27761414,32.49864379,31.39381271,30.91234569,30.74590462,30.79166902,31.0589054,31.37131065,31.60832246,31.82216024,32.04248145,32.24538267,32.45567694,32.70395477,32.9568278,33.20609058,33.48858663,33.86597494,34.35178067,34.8091053,35.17593611,35.51876719,35.82810351,36.06754191,36.4038249,36.7684583,36.66353084,35.59650181,33.588555,31.16317177,28.85399627,27.06360308,26.11984376,26.07619132,26.07979624,26.71762218,27.79538959,29.04851421,30.25577323,31.35122352,32.3968903,33.42625819,
Argentina,ARG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,44.84916006,44.78490222,44.71223234,44.65793759,44.62308663,44.604769,44.60525322,44.62194087,44.64672929,44.66710847,44.6789606,44.5157249,44.29018686,44.06308919,43.84959832,43.65709541,43.48830071,43.33703139,43.19575423,43.05270866,42.90081195,42.5647596,42.15050362,41.74102265,41.34125078,40.95470463,40.58372375,40.22760936,39.8906298,39.5764429,39.28933581,39.0369599,38.86255984,38.70756162,38.57059958,38.44995237,38.34501853,38.25414124,38.1759534,38.10616888,38.04343319,37.98427694,37.97416782,37.99744054,38.02872692,38.06732952,38.11559541,38.17165447,38.2318638,38.28949499,38.44426996,38.26047849,37.99614461,37.74106229,37.4954325,37.26028575,37.03550022,36.81972738,36.61348375,
Armenia,ARM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,55.96083484,55.1267742,54.37067253,53.70261865,53.13274758,52.65988065,52.29306488,52.02161519,51.83029245,51.69100829,51.47885661,51.16581912,50.89700238,50.67726837,50.52370267,50.5672756,50.68048602,50.8532788,51.08420709,51.10976173,50.8739428,50.68970328,50.56386789,50.45984107,50.33503875,50.16974356,49.93043807,49.65879132,49.50317422,49.3366513,49.2365865,49.6241579,50.44940536,51.57029007,52.74351023,53.7565803,54.51634217,55.05572044,55.41695107,55.70032703,55.9854447,56.26654312,56.45710978,56.61762617,56.80211449,57.0335501,57.33524167,57.69670895,58.05000843,58.3007192,58.37700939,58.25123944,58.23953693,58.20388694,58.11843471,58.0447392,58.00095023,57.97344079,57.95676756,
American Samoa,ASM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.47856614,25.41972962,25.28559033,25.28553822,25.27592421,25.2672154,25.18053916,25.87978615,26.46756574,26.97711824,27.53230967,27.70112252,27.37166009,27.13002457,26.62271221,26.46744911,26.3740212,26.25242271,26.12261511,26.01521808,25.87344562,25.63813671,25.51156491,25.49140662,25.50210883,25.4518163,25.33339385,25.24288757,25.12384786,24.99079512,24.91174601,24.88379049,24.85933719,24.89564588,24.91271592,24.8929023,24.84648413,24.48468764,24.14708138,23.79032364,23.42763177,23.03565044,22.89342837,22.74934586,22.62359644,22.46232391,22.26863873,22.45964045,22.3427825,22.21317152,22.19704872,22.21817335,22.19725391,22.18129515,22.21686507,22.26443624,22.28531999,22.27762851,22.29337459,
Austria,AUT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,35.6646446,35.43184131,35.17232894,34.90393157,34.62970137,34.36350589,34.08119427,33.78619464,33.57024977,33.41381977,33.25630824,33.0476593,32.66673337,32.2994693,32.05889865,31.95900916,31.83095726,31.63579217,31.47913424,31.35130645,31.17053062,30.95606172,31.07651652,31.27079407,31.41900181,31.55109993,31.68053267,31.81114471,31.91838106,31.9277291,31.83935205,31.67728898,31.48807657,31.38751489,31.42629564,31.53877562,31.65906801,31.78676139,31.91786827,32.02298332,32.11496093,32.21697287,32.65629476,33.10447015,33.51607801,33.91163069,34.23293644,34.58000537,35.04873293,35.54165985,36.05135704,36.53393038,36.77602036,36.86792098,36.88944115,36.78694277,36.69961937,36.75422013,36.8497527,
Azerbaijan,AZE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,49.00462262,48.77788402,48.53880011,48.32872361,48.19930685,48.17632594,48.27034984,48.46796146,48.76046914,49.12447757,49.19260384,48.89420553,48.65525851,48.46189567,48.42447081,48.53066776,48.65697725,48.79679694,48.94878677,48.86445489,48.49672168,48.13295217,47.7713621,47.40782222,47.0039269,46.55721598,46.10579139,45.65495798,45.2107118,44.82982564,45.04940499,44.77507885,44.52154962,44.26788618,44.09194987,44.00621531,43.9855824,43.98424076,43.9932394,43.90476584,43.6663625,43.44942135,43.24781522,43.04202727,42.78780156,42.4733521,42.22979242,42.07369514,41.88494325,42.07868437,42.63920372,42.77642258,42.51816835,42.26341202,42.01927048,41.79000443,41.58297705,41.4222785,41.28926287,
