"Country","Year","Skilled health professionals density (per 10 000 population)"
"Afghanistan"," 2016","6.37"
"Afghanistan"," 2014","6.6"
"Albania"," 2013","No data"
"Algeria"," 2007","31.16"
"Andorra"," 2015","81.31"
"Angola"," 2009","15.86"
"Argentina"," 2013","81.19"
"Armenia"," 2014","82.25"
"Australia"," 2015","162.40"
"Australia"," 2013","157.2"
"Austria"," 2016","135.09"
"Austria"," 2015","133.2"
"Azerbaijan"," 2014","102.73"
"Bahamas"," 2011","62.39"
"Bahamas"," 2008","67.1"
"Bahrain"," 2015","34.07"
"Bahrain"," 2014","33.8"
"Bangladesh"," 2015","7.38"
"Bangladesh"," 2012","6.0"
"Barbados"," 2005","65.69"
"Belarus"," 2014","154.90"
"Belgium"," 2015","141.70"
"Belgium"," 2014","127.8"
"Belize"," 2009","25.83"
"Benin"," 2016","7.51"
"Benin"," 2013","7.5"
"Bhutan"," 2016","18.93"
"Bhutan"," 2014","13.4"
"Bolivia (Plurinational State of)"," 2011","14.79"
"Bosnia and Herzegovina"," 2013","77.61"
"Botswana"," 2012","31.11"
"Brazil"," 2013","92.96"
"Brunei Darussalam"," 2015","82.59"
"Brunei Darussalam"," 2012","96.6"
"Bulgaria"," 2014","93.18"
"Burkina Faso"," 2012","6.78"
"Cabo Verde"," 2015","20.44"
"Cabo Verde"," 2011","8.7"
"Cambodia"," 2014","10.94"
"Cambodia"," 2013","11.2"
"Cameroon"," 2010","6.03"
"Canada"," 2015","123.82"
"Canada"," 2012","119.5"
"Central African Republic"," 2009","2.99"
"Chad"," 2013","3.52"
"Chile"," 2009","11.78"
"China"," 2015","59.67"
"China"," 2011","31.5"
"Colombia"," 2014","29.01"
"Colombia"," 2010","22.2"
"Congo"," 2007","10.48"
"Cook Islands"," 2009","69.47"
"Costa Rica"," 2013","19.45"
"Côte d'Ivoire"," 2008","6.22"
"Croatia"," 2014","96.38"
"Cuba"," 2014","154.96"
"Cyprus"," 2014","66.14"
"Czechia"," 2013","120.93"
"Democratic People's Republic of Korea"," 2014","75.34"
"Democratic People's Republic of Korea"," 2011","68.7"
"Democratic Republic of the Congo"," 2009","10.53"
"Denmark"," 2014","206.69"
"Denmark"," 2013","204.6"
"Djibouti"," 2014","7.86"
"Dominican Republic"," 2011","28.28"
"Ecuador"," 2011","37.50"
"Egypt"," 2014","22.48"
"El Salvador"," 2008","24.10"
"Estonia"," 2015","97.97"
"Estonia"," 2014","92.9"
"Eswatini"," 2009","15.33"
"Ethiopia"," 2009","2.77"
"Fiji"," 2015","37.75"
"Fiji"," 2009","27.3"
"Finland"," 2014","182.27"
"Finland"," 2013","174.5"
"France"," 2016","137.98"
"France"," 2015","138.3"
"Gabon"," 2016","33.03"
"Gambia"," 2015","17.25"
"Gambia"," 2008","10.0"
"Georgia"," 2014","87.47"
"Germany"," 2015","179.84"
"Germany"," 2014","176.0"
"Ghana"," 2010","10.21"
"Greece"," 2014","96.47"
"Grenada"," 2006","45.23"
"Guatemala"," 2009","17.61"
"Guinea"," 2016","4.43"
"Guinea-Bissau"," 2009","7.30"
"Guyana"," 2010","7.43"
"Honduras"," 2005","15.23"
"Hungary"," 2015","97.26"
"Hungary"," 2014","98.8"
"Iceland"," 2015","190.76"
"India"," 2016","28.52"
"India"," 2014","27.5"
"Indonesia"," 2012","15.54"
"Iran (Islamic Republic of)"," 2014","30.42"
"Iraq"," 2014","26.64"
"Ireland"," 2016","151.98"
"Ireland"," 2015","150.9"
"Israel"," 2015","86.47"
"Israel"," 2014","88.8"
"Italy"," 2016","97.39"
"Italy"," 2014","104.2"
"Jamaica"," 2016","21.37"
"Jamaica"," 2008","14.8"
"Japan"," 2014","136.08"
"Japan"," 2012","130.9"
"Jordan"," 2015","65.40"
"Jordan"," 2014","55.1"
"Kazakhstan"," 2014","116.83"
"Kenya"," 2014","17.86"
"Kenya"," 2013","10.7"
"Kiribati"," 2013","48.18"
"Kuwait"," 2015","96.55"
"Kuwait"," 2014","66.8"
"Kyrgyzstan"," 2014","81.08"
"Lao People's Democratic Republic"," 2014","14.50"
"Lao People's Democratic Republic"," 2012","10.4"
"Latvia"," 2015","81.12"
"Latvia"," 2014","82.5"
"Lebanon"," 2014","49.42"
"Liberia"," 2010","4.79"
"Liberia"," 2008","2.8"
"Libya"," 2014","89.97"
"Lithuania"," 2015","124.29"
"Lithuania"," 2014","122.8"
"Luxembourg"," 2016","150.51"
"Luxembourg"," 2015","152.5"
"Madagascar"," 2012","3.61"
"Malawi"," 2009","3.54"
"Malaysia"," 2015","56.57"
"Malaysia"," 2011","46.8"
"Maldives"," 2015","118.33"
"Maldives"," 2010","72.0"
"Mali"," 2010","5.28"
"Malta"," 2015","130.48"
"Marshall Islands"," 2012","40.07"
"Mauritania"," 2009","7.85"
"Mauritius"," 2015","53.49"
"Mexico"," 2015","48.76"
"Mexico"," 2013","45.8"
"Micronesia (Federated States of)"," 2009","38.00"
"Monaco"," 2014","271.64"
"Mongolia"," 2015","72.62"
"Mongolia"," 2011","65.6"
"Montenegro"," 2015","80.83"
"Morocco"," 2014","14.90"
"Mozambique"," 2013","4.56"
"Myanmar"," 2012","14.98"
"Namibia"," 2007","31.32"
"Nauru"," 2011","83.64"
"Nauru"," 2010","78.8"
"Nepal"," 2014","26.39"
"Netherlands"," 2015","139.84"
"Netherlands"," 2014","116.9"
"New Zealand"," 2015","143.00"
"New Zealand"," 2014","135.7"
"Nicaragua"," 2014","22.98"
"Niger"," 2008","1.59"
"Nigeria"," 2009","18.25"
"Niue"," 2008","116.29"
"Norway"," 2015","222.09"
"Norway"," 2014","218.3"
"Oman"," 2016","60.68"
"Oman"," 2014","48.9"
"Pakistan"," 2015","14.79"
"Pakistan"," 2014","14.1"
"Palau"," 2014","64.46"
"Palau"," 2010","72.8"
"Panama"," 2013","38.49"
"Papua New Guinea"," 2010","5.87"
"Paraguay"," 2012","23.34"
"Peru"," 2012","26.09"
"Poland"," 2015","79.84"
"Poland"," 2014","80.1"
"Portugal"," 2014","108.03"
"Qatar"," 2014","76.65"
"Republic of Korea"," 2016","92.24"
"Republic of Korea"," 2014","79.0"
"Republic of Moldova"," 2015","77.06"
"Republic of Moldova"," 2014","78.5"
"Republic of North Macedonia"," 2015","66.68"
"Republic of North Macedonia"," 2013","70.1"
"Romania"," 2013","90.84"
"Russian Federation"," 2015","126.58"
"Russian Federation"," 2014","78.8"
"Rwanda"," 2015","8.96"
"Rwanda"," 2010","7.3"
"Saint Lucia"," 2009","19.64"
"Samoa"," 2010","18.81"
"Samoa"," 2008","23.6"
"San Marino"," 2014","154.46"
"Saudi Arabia"," 2014","77.74"
"Senegal"," 2016","3.78"
"Senegal"," 2008","4.9"
"Serbia"," 2014","71.60"
